,Municipality *,FTA Warrants,VOP Warrants,OTI Warrants,Total Warrants,"Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
130,Southbury,20,1,0,21,17,1,6,3
131,Southington,99,12,1,112,62,5,10,8
132,Sprague,8,12,1,21,12,2,5,4
133,Stafford,74,10,1,85,62,4,5,3
134,Stamford,"2,372",275,3,"2,650",530,22,45,19
135,Sterling,26,2,1,29,14,1,0,0
136,Stonington,106,15,0,121,38,3,9,7
137,Stratford,345,69,0,414,63,13,32,17
138,Suffield,22,4,0,26,18,1,0,0
139,Thomaston,14,4,0,18,9,1,2,1
140,Thompson,68,26,4,98,43,2,2,0
141,Tolland,38,2,0,40,30,2,3,1
142,Torrington,262,38,1,301,180,22,42,16
143,Trumbull,80,10,0,90,37,6,0,0
144,Union,2,0,0,2,2,0,0,0
145,Vernon,158,36,1,195,106,13,16,9
146,Voluntown,4,4,0,8,6,1,0,0
147,Wallingford,93,23,1,117,28,13,9,4
148,Warren,0,0,0,0,0,0,0,0
149,Washington,10,0,0,10,9,0,3,0
150,Waterbury,"2,487",306,5,"2,798","1,465",138,210,87
151,Waterford,43,7,0,50,9,5,4,4
152,Watertown,50,9,0,59,43,7,7,5
153,West Hartford,104,17,0,121,77,7,16,7
154,West Haven,656,62,0,718,209,32,37,21
155,Westbrook,27,4,0,31,27,0,4,2
156,Weston,18,0,0,18,10,0,0,0
157,Westport,61,5,0,66,48,4,8,6
158,Wethersfield,64,8,0,72,53,8,1,1
159,Willington,27,3,0,30,20,2,3,1
160,Wilton,25,0,0,25,16,0,0,0
161,Winchester,89,6,0,95,27,4,13,8
162,Windham,663,141,18,822,255,18,23,13
163,Windsor,126,24,1,151,85,7,10,6
164,Windsor Locks,50,6,0,56,34,0,6,5
165,Wolcott,46,7,0,53,19,4,8,7
166,Woodbridge,9,2,0,11,3,1,1,1
167,Woodbury,27,1,0,28,20,1,2,0
168,Woodstock,17,5,2,24,15,4,1,1
169,Grand Total,"32,488","5,114",83,"37,685","13,582","1,427","2,111","1,112"
