,Municipality *,FTA Warrants,VOP Warrants,OTI Warrants,Total Warrants,"Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
130,Southbury,24,1,0,25,15,3,5,4
131,Southington,119,16,0,135,67,13,10,8
132,Sprague,8,11,1,20,12,1,1,0
133,Stafford,73,10,0,83,63,5,8,3
134,Stamford,"2,347",269,3,"2,619",508,21,54,16
135,Sterling,26,3,0,29,14,1,1,0
136,Stonington,111,12,0,123,38,0,1,0
137,Stratford,365,76,0,441,63,20,26,12
138,Suffield,20,4,0,24,17,1,0,0
139,Thomaston,15,4,0,19,10,1,9,4
140,Thompson,66,26,4,96,47,1,6,2
141,Tolland,34,0,0,34,29,2,0,0
142,Torrington,286,29,1,316,198,23,71,25
143,Trumbull,74,9,0,83,34,3,3,3
144,Union,2,0,0,2,2,0,0,0
145,Vernon,163,36,1,200,106,12,15,11
146,Voluntown,5,4,0,9,6,2,0,0
147,Wallingford,90,21,1,112,28,13,14,11
148,Warren,0,0,0,0,0,0,0,0
149,Washington,13,0,0,13,12,0,2,2
150,Waterbury,"2,497",323,5,"2,825","1,747",145,220,93
151,Waterford,47,2,0,49,11,3,13,2
152,Watertown,52,8,0,60,49,12,14,9
153,West Hartford,110,14,0,124,77,7,18,13
154,West Haven,688,79,0,767,217,30,37,19
155,Westbrook,33,7,0,40,32,4,2,2
156,Weston,18,0,0,18,10,0,0,0
157,Westport,60,5,0,65,49,2,1,1
158,Wethersfield,64,10,0,74,52,8,6,0
159,Willington,23,3,0,26,20,1,0,0
160,Wilton,26,0,0,26,15,0,1,1
161,Winchester,74,6,0,80,26,4,14,10
162,Windham,666,145,19,830,257,22,33,16
163,Windsor,114,19,1,134,73,6,11,7
164,Windsor Locks,48,7,0,55,37,2,11,9
165,Wolcott,49,10,0,59,26,8,14,8
166,Woodbridge,7,3,0,10,2,1,0,0
167,Woodbury,24,1,0,25,21,2,3,1
168,Woodstock,13,5,2,20,14,0,2,0
169,Grand Total,"33,020","5,211",84,"38,315","14,192","1,528","2,266","1,109"
