,Municipality *,FTA Warrants,VOP Warrants,OTI Warrants,Total Warrants,"Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
130,Southbury,20,1,0,21,17,1,1,0
131,Southington,102,16,1,119,63,6,6,6
132,Sprague,7,11,1,19,12,0,3,2
133,Stafford,78,9,1,88,60,6,9,3
134,Stamford,"2,405",277,3,"2,685",543,65,62,14
135,Sterling,26,2,1,29,14,0,0,0
136,Stonington,112,15,0,127,38,9,4,1
137,Stratford,345,73,0,418,62,17,22,14
138,Suffield,19,4,0,23,18,0,3,0
139,Thomaston,14,4,0,18,9,0,1,1
140,Thompson,67,26,4,97,42,1,2,1
141,Tolland,36,1,0,37,28,2,6,3
142,Torrington,271,37,1,309,179,23,43,21
143,Trumbull,72,9,0,81,34,0,12,7
144,Union,2,0,0,2,2,0,0,0
145,Vernon,157,35,1,193,104,11,22,11
146,Voluntown,5,4,0,9,6,1,0,0
147,Wallingford,96,28,1,125,31,18,14,13
148,Warren,0,0,0,0,0,0,0,0
149,Washington,10,0,0,10,9,0,0,0
150,Waterbury,"2,529",331,5,"2,865","1,459",241,229,100
151,Waterford,50,4,0,54,10,3,4,4
152,Watertown,49,9,0,58,50,6,9,5
153,West Hartford,102,15,0,117,70,3,12,6
154,West Haven,666,58,0,724,210,28,38,21
155,Westbrook,27,4,0,31,27,0,4,3
156,Weston,18,0,0,18,10,0,0,0
157,Westport,63,5,0,68,48,2,0,0
158,Wethersfield,68,11,0,79,51,8,2,1
159,Willington,26,3,0,29,19,0,1,0
160,Wilton,24,0,0,24,15,1,0,0
161,Winchester,83,5,0,88,26,5,15,3
162,Windham,665,131,19,815,253,11,25,14
163,Windsor,123,21,1,145,81,13,24,12
164,Windsor Locks,46,5,0,51,30,2,5,3
165,Wolcott,45,7,0,52,17,4,4,1
166,Woodbridge,8,2,0,10,3,0,1,1
167,Woodbury,21,1,0,22,19,0,6,2
168,Woodstock,16,5,2,23,15,0,1,0
169,Grand Total,"32,628","5,124",83,"37,835","13,445","1,752","2,231","1,145"
