,Municipality *,FTA Warrants,VOP Warrants,OTI Warrants,Total Warrants,"Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants  
For Month","Warrants 
Foreign Served 
For Month"
130,Southbury,18,2,0,20,17,1,1,1
131,Southington,146,5,2,153,101,16,14,5
132,Sprague,17,12,1,30,22,4,4,3
133,Stafford,63,8,1,72,49,0,4,2
134,Stamford,"2,331",251,0,"2,582",300,52,56,20
135,Sterling,22,3,2,27,15,0,6,1
136,Stonington,92,8,0,100,49,4,4,1
137,Stratford,288,44,1,333,43,23,24,9
138,Suffield,22,2,0,24,22,0,3,0
139,Thomaston,16,2,0,18,8,0,6,4
140,Thompson,57,11,0,68,35,3,12,2
141,Tolland,24,0,0,24,17,3,5,1
142,Torrington,206,25,1,232,159,23,49,32
143,Trumbull,79,2,0,81,30,10,7,3
144,Union,4,0,0,4,3,0,0,0
145,Vernon,126,37,2,165,108,8,18,8
146,Voluntown,8,2,1,11,9,1,0,0
147,Wallingford,128,22,1,151,34,11,23,18
148,Warren,2,0,0,2,2,0,1,1
149,Washington,8,0,0,8,7,0,0,0
150,Waterbury,"2,107",271,9,"2,387",880,108,160,54
151,Waterford,51,7,0,58,6,6,7,2
152,Watertown,44,4,0,48,28,5,3,3
153,West Hartford,95,10,8,113,47,11,14,10
154,West Haven,581,70,0,651,166,36,61,22
155,Westbrook,51,7,0,58,27,3,3,1
156,Weston,11,0,0,11,8,1,0,0
157,Westport,46,7,0,53,41,1,9,5
158,Wethersfield,56,9,3,68,55,3,4,1
159,Willington,19,5,0,24,18,2,1,0
160,Wilton,25,1,0,26,14,3,1,1
161,Winchester,32,9,1,42,34,1,9,7
162,Windham,593,127,19,739,225,19,52,26
163,Windsor,118,19,4,141,64,14,23,12
164,Windsor Locks,43,7,0,50,31,1,1,1
165,Wolcott,31,5,0,36,11,1,10,7
166,Woodbridge,11,3,0,14,5,1,2,1
167,Woodbury,20,7,0,27,21,3,1,0
168,Woodstock,13,1,0,14,13,0,3,1
169,Grand Total,"30,455","4,534",452,"35,441","10,121","1,750","2,484","1,092"
