,Municipality *,FTA Warrants,VOP Warrants,OTI Warrants,Total Warrants,"Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
130,Southbury,23,1,0,24,20,5,3,2
131,Southington,112,12,0,124,62,10,9,1
132,Sprague,13,12,1,26,11,1,2,1
133,Stafford,75,8,0,83,61,3,0,0
134,Stamford,"2,452",284,2,"2,738",545,39,60,19
135,Sterling,27,1,0,28,13,0,2,1
136,Stonington,96,15,0,111,29,9,3,3
137,Stratford,352,73,0,425,63,24,31,22
138,Suffield,17,4,0,21,17,0,6,1
139,Thomaston,16,4,0,20,8,4,2,2
140,Thompson,63,25,4,92,40,1,8,4
141,Tolland,36,0,0,36,30,0,5,1
142,Torrington,289,28,1,318,162,28,43,23
143,Trumbull,76,10,0,86,39,2,5,3
144,Union,2,0,0,2,2,0,1,1
145,Vernon,162,33,1,196,97,9,19,7
146,Voluntown,4,3,0,7,5,0,0,0
147,Wallingford,97,17,1,115,24,11,12,10
148,Warren,0,0,0,0,0,0,0,0
149,Washington,11,3,0,14,10,4,0,0
150,Waterbury,"2,496",322,5,"2,823","1,321",167,179,67
151,Waterford,53,12,0,65,12,2,2,1
152,Watertown,47,5,0,52,38,7,8,5
153,West Hartford,94,17,0,111,68,3,12,12
154,West Haven,675,68,0,743,222,37,43,25
155,Westbrook,34,4,0,38,26,9,1,1
156,Weston,17,0,0,17,9,0,0,0
157,Westport,59,7,0,66,44,1,3,2
158,Wethersfield,62,7,0,69,49,6,12,9
159,Willington,25,3,0,28,18,0,0,0
160,Wilton,22,0,0,22,14,0,0,0
161,Winchester,92,4,0,96,22,1,7,4
162,Windham,671,133,21,825,258,20,22,11
163,Windsor,123,17,1,141,79,14,13,8
164,Windsor Locks,49,7,0,56,34,1,7,3
165,Wolcott,57,5,0,62,19,8,4,2
166,Woodbridge,7,3,0,10,3,1,1,1
167,Woodbury,25,7,0,32,19,9,1,1
168,Woodstock,17,7,2,26,15,3,1,0
169,Grand Total,"32,677","5,200",81,"37,958","13,324","1,646","1,884",935
