,Municipality *,FTA Warrants,VOP Warrants,OTI Warrants,Total Warrants,"Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
130,Southbury,20,1,0,21,16,0,3,2
131,Southington,107,11,0,118,63,9,6,5
132,Sprague,10,13,1,24,12,2,1,0
133,Stafford,74,13,0,87,60,2,4,1
134,Stamford,"2,368",272,3,"2,643",525,28,21,8
135,Sterling,25,2,1,28,14,1,3,0
136,Stonington,112,19,0,131,38,6,3,1
137,Stratford,362,80,0,442,66,14,19,5
138,Suffield,21,4,0,25,18,1,2,2
139,Thomaston,19,5,0,24,11,6,3,1
140,Thompson,63,26,4,93,42,3,6,0
141,Tolland,35,1,0,36,28,2,0,0
142,Torrington,283,33,1,317,190,21,26,9
143,Trumbull,73,10,0,83,35,4,7,3
144,Union,2,0,0,2,2,0,0,0
145,Vernon,155,34,1,190,104,13,18,13
146,Voluntown,3,4,0,7,6,0,1,1
147,Wallingford,90,19,1,110,31,9,8,4
148,Warren,0,0,0,0,0,0,0,0
149,Washington,9,0,0,9,8,0,4,0
150,Waterbury,"2,538",313,5,"2,856","1,557",166,227,87
151,Waterford,43,7,0,50,11,1,11,11
152,Watertown,51,8,0,59,47,6,18,13
153,West Hartford,101,14,0,115,73,2,4,2
154,West Haven,675,72,0,747,208,27,31,23
155,Westbrook,30,4,0,34,29,1,1,1
156,Weston,19,0,0,19,10,0,2,1
157,Westport,59,6,0,65,48,0,0,0
158,Wethersfield,60,6,0,66,52,7,13,4
159,Willington,25,4,0,29,19,0,0,0
160,Wilton,25,0,0,25,17,2,1,0
161,Winchester,85,5,0,90,25,7,7,5
162,Windham,654,141,19,814,250,17,38,25
163,Windsor,124,19,1,144,84,2,7,4
164,Windsor Locks,49,7,0,56,37,1,2,1
165,Wolcott,48,9,0,57,21,7,5,3
166,Woodbridge,7,2,0,9,2,1,1,1
167,Woodbury,25,2,0,27,20,2,4,2
168,Woodstock,14,5,2,21,14,0,0,0
169,Grand Total,"32,655","5,083",84,"37,822","13,796","1,336","2,113","1,043"
