,Municipality *,FTA Warrants,VOP Warrants,OTI Warrants,Total Warrants,"Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
130,Southbury,19,2,0,21,18,2,4,3
131,Southington,109,11,0,120,65,9,11,8
132,Sprague,10,13,1,24,11,6,1,1
133,Stafford,74,9,0,83,58,3,16,5
134,Stamford,"2,416",279,3,"2,698",536,52,49,16
135,Sterling,27,1,1,29,13,1,4,4
136,Stonington,103,16,0,119,38,2,11,7
137,Stratford,350,72,0,422,61,16,18,10
138,Suffield,19,4,0,23,18,1,1,0
139,Thomaston,14,4,0,18,9,0,0,0
140,Thompson,65,26,4,95,41,0,1,1
141,Tolland,37,0,0,37,30,2,3,2
142,Torrington,282,31,1,314,172,38,64,35
143,Trumbull,71,11,0,82,36,3,2,0
144,Union,2,0,0,2,2,0,0,0
145,Vernon,156,35,2,193,104,11,18,7
146,Voluntown,4,4,0,8,6,0,0,0
147,Wallingford,88,28,1,117,29,7,16,11
148,Warren,0,0,0,0,0,0,0,0
149,Washington,10,0,0,10,9,0,0,0
150,Waterbury,"2,469",322,5,"2,796","1,414",177,283,121
151,Waterford,43,6,0,49,9,3,7,6
152,Watertown,40,7,0,47,41,3,17,13
153,West Hartford,103,17,0,120,70,6,6,1
154,West Haven,665,66,0,731,216,35,36,20
155,Westbrook,29,4,0,33,28,2,1,1
156,Weston,17,0,0,17,9,0,1,0
157,Westport,60,6,0,66,45,1,0,0
158,Wethersfield,69,9,0,78,52,8,11,9
159,Willington,27,3,0,30,19,1,0,0
160,Wilton,23,0,0,23,14,0,1,1
161,Winchester,84,5,0,89,26,6,13,8
162,Windham,670,136,19,825,250,28,23,14
163,Windsor,116,19,1,136,84,6,21,14
164,Windsor Locks,48,5,0,53,31,3,2,0
165,Wolcott,47,7,0,54,18,6,3,2
166,Woodbridge,9,2,0,11,3,1,0,0
167,Woodbury,21,1,0,22,19,0,2,1
168,Woodstock,16,5,2,23,15,0,0,0
169,Grand Total,"32,328","5,070",82,"37,480","13,452","1,567","2,340","1,204"
