,Municipality *,FTA Warrants,VOP Warrants,OTI Warrants,Total Warrants,"Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
130,Southbury,22,3,0,25,20,2,1,1
131,Southington,102,11,0,113,62,3,12,5
132,Sprague,8,13,1,22,12,3,0,0
133,Stafford,74,13,0,87,60,5,2,1
134,Stamford,"2,360",270,3,"2,633",522,47,49,16
135,Sterling,27,2,0,29,14,0,2,0
136,Stonington,112,15,0,127,38,5,3,2
137,Stratford,366,76,0,442,66,19,25,15
138,Suffield,21,4,0,25,17,1,1,0
139,Thomaston,15,4,0,19,10,2,2,2
140,Thompson,66,26,4,96,47,2,6,5
141,Tolland,34,0,0,34,28,0,1,1
142,Torrington,284,28,1,313,183,25,47,21
143,Trumbull,75,10,0,85,35,2,3,0
144,Union,2,0,0,2,2,0,0,0
145,Vernon,155,34,1,190,105,12,15,10
146,Voluntown,4,4,0,8,6,1,0,0
147,Wallingford,83,19,1,103,28,5,13,8
148,Warren,0,0,0,0,0,0,0,0
149,Washington,13,0,0,13,12,0,0,0
150,Waterbury,"2,532",316,5,"2,853","1,605",234,259,107
151,Waterford,44,7,0,51,11,2,0,0
152,Watertown,51,11,0,62,41,14,15,5
153,West Hartford,101,13,0,114,73,3,15,10
154,West Haven,674,73,0,747,217,23,39,22
155,Westbrook,29,4,0,33,29,0,1,1
156,Weston,19,0,0,19,10,1,0,0
157,Westport,58,6,0,64,48,0,0,0
158,Wethersfield,64,7,0,71,50,10,10,6
159,Willington,25,4,0,29,19,3,0,0
160,Wilton,23,0,0,23,15,0,3,1
161,Winchester,83,5,0,88,25,11,13,10
162,Windham,655,144,19,818,254,12,36,19
163,Windsor,124,21,1,146,82,14,5,5
164,Windsor Locks,48,7,0,55,37,0,10,8
165,Wolcott,43,7,0,50,22,2,7,5
166,Woodbridge,7,2,0,9,2,1,1,1
167,Woodbury,25,2,0,27,21,4,3,3
168,Woodstock,14,5,2,21,14,1,1,1
169,Grand Total,"32,664","5,111",82,"37,857","13,855","1,531","2,267","1,131"
