,Municipality *,FTA Warrants,VOP Warrants,OTI Warrants,Total Warrants,"Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
130,Southbury,22,2,0,24,16,2,4,3
131,Southington,108,13,0,121,63,9,30,20
132,Sprague,8,11,1,20,12,1,2,0
133,Stafford,73,10,0,83,60,4,5,3
134,Stamford,"2,347",269,3,"2,619",512,34,46,23
135,Sterling,27,2,0,29,14,2,2,2
136,Stonington,111,13,0,124,38,2,2,1
137,Stratford,363,77,0,440,67,19,24,11
138,Suffield,21,4,0,25,17,1,2,2
139,Thomaston,14,4,0,18,10,2,2,0
140,Thompson,67,26,4,97,47,1,0,0
141,Tolland,34,0,0,34,28,1,1,1
142,Torrington,293,31,1,325,196,20,21,10
143,Trumbull,75,10,0,85,36,4,2,2
144,Union,2,0,0,2,2,0,0,0
145,Vernon,155,35,1,191,107,5,17,7
146,Voluntown,3,4,0,7,6,0,2,2
147,Wallingford,88,22,1,111,28,3,12,7
148,Warren,0,0,0,0,0,0,0,0
149,Washington,13,0,0,13,12,0,0,0
150,Waterbury,"2,499",319,5,"2,823","1,681",157,202,73
151,Waterford,44,5,0,49,11,3,4,2
152,Watertown,53,7,0,60,49,7,12,5
153,West Hartford,109,15,0,124,75,11,10,3
154,West Haven,684,79,0,763,216,27,47,32
155,Westbrook,31,4,0,35,29,1,9,6
156,Weston,18,0,0,18,10,0,0,0
157,Westport,58,6,0,64,48,2,3,2
158,Wethersfield,60,10,0,70,51,5,8,6
159,Willington,23,3,0,26,19,1,2,2
160,Wilton,26,0,0,26,15,0,0,0
161,Winchester,76,7,0,83,25,5,4,2
162,Windham,674,140,19,833,256,17,18,4
163,Windsor,116,20,1,137,78,7,9,3
164,Windsor Locks,52,8,0,60,39,3,1,1
165,Wolcott,47,7,0,54,22,2,8,4
166,Woodbridge,7,2,0,9,2,0,1,0
167,Woodbury,26,1,0,27,22,2,0,0
168,Woodstock,13,5,2,20,14,0,0,0
169,Grand Total,"32,940","5,153",83,"38,176","14,109","1,324","2,008",984
