,Municipality *,FTA Warrants,VOP Warrants,OTI Warrants,Total Warrants,"Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
130,Southbury,25,1,0,26,20,4,1,1
131,Southington,102,13,0,115,62,5,15,11
132,Sprague,8,13,1,22,12,1,5,3
133,Stafford,75,10,0,85,60,4,15,8
134,Stamford,"2,377",270,3,"2,650",526,53,53,25
135,Sterling,25,2,1,28,14,0,1,1
136,Stonington,104,16,0,120,38,2,6,1
137,Stratford,356,75,0,431,68,17,40,23
138,Suffield,21,4,0,25,18,3,4,3
139,Thomaston,13,4,0,17,9,0,7,5
140,Thompson,69,26,4,99,44,6,1,0
141,Tolland,37,2,0,39,29,3,1,1
142,Torrington,273,34,1,308,181,20,50,22
143,Trumbull,73,10,0,83,35,5,4,4
144,Union,2,0,0,2,2,0,0,0
145,Vernon,156,36,1,193,105,12,21,6
146,Voluntown,3,4,0,7,6,0,1,1
147,Wallingford,94,18,1,113,31,9,6,4
148,Warren,0,0,0,0,0,0,0,0
149,Washington,10,0,0,10,9,1,0,0
150,Waterbury,"2,513",300,5,"2,818","1,506",157,272,116
151,Waterford,40,5,0,45,10,0,12,3
152,Watertown,46,9,0,55,45,4,12,5
153,West Hartford,112,16,0,128,79,11,4,2
154,West Haven,655,61,0,716,212,17,63,38
155,Westbrook,30,6,0,36,30,2,1,1
156,Weston,18,0,0,18,10,0,1,0
157,Westport,63,7,0,70,50,5,3,2
158,Wethersfield,58,7,0,65,50,5,7,2
159,Willington,28,4,0,32,21,2,4,1
160,Wilton,24,0,0,24,16,0,2,2
161,Winchester,94,5,0,99,25,13,7,6
162,Windham,652,141,19,812,251,20,32,17
163,Windsor,129,19,1,149,86,16,17,14
164,Windsor Locks,49,7,0,56,36,2,5,4
165,Wolcott,47,9,0,56,21,1,7,6
166,Woodbridge,8,2,0,10,2,1,0,0
167,Woodbury,27,2,0,29,21,2,1,0
168,Woodstock,13,5,2,20,14,0,3,0
169,Grand Total,"32,564","5,108",84,"37,756","13,702","1,475","2,220","1,104"
