,Municipality *,FTA Warrants,VOP Warrants,OTI Warrants,Total Warrants,"Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
118,Rocky Hill,33,6,0,39,13,1,0,0
119,Roxbury,1,0,0,1,1,0,1,1
120,Salem,20,2,0,22,13,2,1,0
121,Salisbury,10,4,0,14,9,1,0,0
122,Scotland,6,1,0,7,1,0,0,0
123,Seymour,61,15,0,76,59,4,9,4
124,Sharon,5,1,0,6,5,0,1,0
125,Shelton,133,30,0,163,50,9,6,5
126,Sherman,4,2,0,6,5,0,2,0
127,Simsbury,21,8,0,29,21,2,2,2
128,Somers,13,4,0,17,10,2,2,0
129,South Windsor,33,8,1,42,20,2,3,2
130,Southbury,23,1,0,24,15,2,6,6
131,Southington,118,10,0,128,68,5,8,6
132,Sprague,7,12,1,20,12,0,10,6
133,Stafford,72,10,0,82,65,1,3,0
134,Stamford,"2,345",279,3,"2,627",508,33,34,13
135,Sterling,25,4,0,29,13,2,0,0
136,Stonington,111,12,0,123,38,8,2,0
137,Stratford,355,82,0,437,61,18,23,14
138,Suffield,20,3,0,23,17,0,1,0
139,Thomaston,20,5,0,25,10,7,5,4
140,Thompson,68,28,4,100,46,5,6,0
141,Tolland,32,0,0,32,27,0,14,13
142,Torrington,308,33,1,342,193,61,38,16
143,Trumbull,78,6,0,84,37,3,0,0
144,Union,2,0,0,2,2,0,0,0
145,Vernon,157,37,1,195,104,7,19,9
146,Voluntown,3,4,0,7,6,0,0,0
147,Wallingford,85,16,1,102,27,6,6,3
148,Warren,0,0,0,0,0,0,5,2
149,Washington,13,2,0,15,14,2,0,0
150,Waterbury,"2,507",341,5,"2,853","1,739",240,194,67
151,Waterford,51,2,0,53,10,8,5,4
152,Watertown,54,7,0,61,52,12,6,3
153,West Hartford,112,17,0,129,78,6,10,7
154,West Haven,692,83,0,775,218,45,39,24
155,Westbrook,30,7,0,37,31,1,2,2
156,Weston,18,0,0,18,10,0,0,0
157,Westport,59,5,0,64,48,2,8,7
158,Wethersfield,64,6,0,70,50,3,11,7
159,Willington,22,3,0,25,20,0,0,0
160,Wilton,27,0,0,27,14,2,0,0
161,Winchester,79,8,0,87,27,12,13,8
162,Windham,661,150,19,830,255,24,27,14
163,Windsor,116,20,1,137,75,7,18,9
164,Windsor Locks,54,6,0,60,43,0,5,3
165,Wolcott,57,4,0,61,23,10,3,2
166,Woodbridge,7,2,0,9,2,0,0,0
167,Woodbury,24,1,0,25,22,1,0,0
168,Woodstock,12,5,2,19,14,0,0,0
169,Grand Total,"33,025","5,267",82,"38,374","14,015","1,754","2,046","1,005"
