,Municipality *,FTA Warrants,VOP Warrants,OTI Warrants,Total Warrants,"Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
130,Southbury,18,1,0,19,16,0,2,1
131,Southington,113,17,0,130,66,11,10,5
132,Sprague,8,13,1,22,11,1,3,0
133,Stafford,72,9,0,81,58,0,8,3
134,Stamford,"2,427",277,3,"2,707",531,50,70,22
135,Sterling,27,1,1,29,13,0,0,0
136,Stonington,97,18,0,115,38,3,6,6
137,Stratford,340,73,0,413,61,10,37,22
138,Suffield,22,4,0,26,19,3,0,0
139,Thomaston,13,4,0,17,9,1,2,1
140,Thompson,66,26,4,96,40,2,2,1
141,Tolland,37,0,0,37,30,1,3,0
142,Torrington,252,25,1,278,154,9,44,19
143,Trumbull,73,10,0,83,35,3,4,4
144,Union,2,0,0,2,2,0,0,0
145,Vernon,159,35,2,196,97,14,16,10
146,Voluntown,4,3,0,7,5,0,1,1
147,Wallingford,89,26,1,116,28,8,8,6
148,Warren,0,0,0,0,0,0,0,0
149,Washington,10,0,0,10,9,0,3,0
150,Waterbury,"2,475",323,5,"2,803","1,387",171,235,84
151,Waterford,53,6,0,59,11,11,3,3
152,Watertown,43,5,0,48,44,12,11,5
153,West Hartford,101,22,0,123,70,12,16,5
154,West Haven,670,65,0,735,217,40,49,22
155,Westbrook,29,4,0,33,26,2,1,1
156,Weston,17,0,0,17,9,0,0,0
157,Westport,61,6,0,67,45,1,0,0
158,Wethersfield,65,10,0,75,51,4,19,15
159,Willington,25,3,0,28,18,0,2,1
160,Wilton,23,0,0,23,14,1,1,0
161,Winchester,81,4,0,85,23,2,9,8
162,Windham,670,133,20,823,249,13,25,15
163,Windsor,121,17,1,139,81,6,8,6
164,Windsor Locks,48,5,0,53,30,3,4,4
165,Wolcott,47,7,0,54,18,3,4,2
166,Woodbridge,8,2,0,10,3,0,1,0
167,Woodbury,22,1,0,23,19,1,0,0
168,Woodstock,16,5,2,23,15,0,2,2
169,Grand Total,"32,364","5,103",84,"37,551","13,300","1,588","2,204","1,093"
