,Municipality,Month,FTA Warrants,VOP Warrants,OTI Warrants,Total Warrants,Warrants with LEA,Issued Warrants,Served Warrants  For Month,Warrants Foreign Served
490,Waterbury,Mar,2499,319,5,2823,1681,157,202,73
491,Waterford,Mar,44,5,0,49,11,3,4,2
492,Watertown,Mar,53,7,0,60,49,7,12,5
493,West Hartford,Mar,109,15,0,124,75,11,10,3
494,West Haven,Mar,684,79,0,763,216,27,47,32
495,Westbrook,Mar,31,4,0,35,29,1,9,6
496,Weston,Mar,18,0,0,18,10,0,0,0
497,Westport,Mar,58,6,0,64,48,2,3,2
498,Wethersfield,Mar,60,10,0,70,51,5,8,6
499,Willington,Mar,23,3,0,26,19,1,2,2
500,Wilton,Mar,26,0,0,26,15,0,0,0
501,Winchester,Mar,76,7,0,83,25,5,4,2
502,Windham,Mar,674,140,19,833,256,17,18,4
503,Windsor,Mar,116,20,1,137,78,7,9,3
504,Windsor Locks,Mar,52,8,0,60,39,3,1,1
505,Wolcott,Mar,47,7,0,54,22,2,8,4
506,Woodbridge,Mar,7,2,0,9,2,0,1,0
507,Woodbury,Mar,26,1,0,27,22,2,0,0
508,Woodstock,Mar,13,5,2,20,14,0,0,0
509,Grand Total,Mar,32940,5153,83,38176,14109,1324,2008,984
510,Andover,Apr,2,1,0,3,2,2,0,0
511,Ansonia,Apr,218,25,0,243,112,9,10,6
512,Ashford,Apr,36,4,1,41,22,12,1,0
513,Avon,Apr,15,1,0,16,7,0,0,0
514,Barkhamsted,Apr,7,1,0,8,5,0,0,0
515,Beacon Falls,Apr,18,7,0,25,22,1,0,0
516,Berlin,Apr,30,10,0,40,38,1,4,2
517,Bethany,Apr,13,0,0,13,9,0,2,2
518,Bethel,Apr,86,8,0,94,39,1,6,3
519,Bethlehem,Apr,8,0,0,8,5,0,0,0
520,Bloomfield,Apr,89,17,0,106,44,9,11,8
521,Bolton,Apr,8,2,0,10,7,1,0,0
522,Bozrah,Apr,2,0,0,2,1,2,0,0
523,Branford,Apr,148,22,0,170,64,8,10,8
524,Bridgeport,Apr,4277,626,1,4904,758,181,216,109
525,Bridgewater,Apr,3,1,0,4,4,0,1,1
526,Bristol,Apr,443,39,1,483,177,20,29,17
527,Brookfield,Apr,48,5,0,53,45,2,7,3
528,Brooklyn,Apr,31,5,1,37,23,1,3,1
529,Burlington,Apr,7,1,0,8,6,0,1,1
530,Canaan,Apr,3,0,0,3,1,1,0,0
531,Canterbury,Apr,4,2,1,7,3,1,0,0
532,Canton,Apr,12,1,0,13,9,0,0,0
533,Chaplin,Apr,8,5,2,15,14,0,0,0
534,Cheshire,Apr,54,10,0,64,28,18,1,1
535,Chester,Apr,6,0,0,6,3,1,0,0
536,Clinton,Apr,49,9,0,58,47,1,4,3
537,Colchester,Apr,26,7,0,33,21,2,1,1
538,Colebrook,Apr,0,0,0,0,0,0,0,0
539,Columbia,Apr,7,2,0,9,8,0,0,0
540,Cornwall,Apr,1,0,0,1,1,0,0,0
541,Coventry,Apr,27,2,0,29,20,1,0,0
542,Cromwell,Apr,23,2,0,25,3,5,7,6
543,Danbury,Apr,1925,141,4,2070,798,41,39,19
544,Darien,Apr,31,2,0,33,9,4,0,0
545,Deep River,Apr,22,4,0,26,19,0,1,1
546,Derby,Apr,149,19,0,168,133,11,17,7
547,Durham,Apr,7,1,0,8,2,0,0,0
548,East Granby,Apr,12,1,0,13,11,0,2,1
549,East Haddam,Apr,19,2,0,21,19,0,3,1
550,East Hampton,Apr,28,4,0,32,17,0,5,3
551,East Hartford,Apr,510,96,7,613,143,18,40,28
552,East Haven,Apr,196,40,0,236,52,20,19,9
553,East Lyme,Apr,53,4,0,57,41,3,7,6
554,East Windsor,Apr,48,9,1,58,37,1,3,2
555,Eastford,Apr,5,2,0,7,5,0,0,0
556,Easton,Apr,10,0,0,10,9,0,1,0
557,Ellington,Apr,31,3,0,34,27,0,2,1
558,Enfield,Apr,191,31,1,223,194,6,21,11
559,Essex,Apr,10,0,0,10,3,0,0,0
560,Fairfield,Apr,166,20,0,186,75,3,12,7
561,Farmington,Apr,25,1,0,26,23,1,5,4
562,Franklin,Apr,0,1,0,1,0,0,1,0
563,Glastonbury,Apr,35,2,0,37,22,1,5,4
564,Goshen,Apr,0,0,0,0,0,0,3,3
565,Granby,Apr,20,2,0,22,14,1,1,1
566,Greenwich,Apr,187,24,1,212,28,3,6,2
567,Griswold,Apr,37,11,0,48,36,1,8,6
568,Groton,Apr,449,43,0,492,165,13,21,10
569,Guilford,Apr,34,10,0,44,15,2,5,2
570,Haddam,Apr,12,0,0,12,3,0,1,1
571,Hamden,Apr,318,51,0,369,112,28,30,12
572,Hampton,Apr,8,3,0,11,5,0,0,0
573,Hartford,Apr,2277,600,8,2885,1737,118,271,135
574,Hartland,Apr,2,0,0,2,2,0,0,0
575,Harwinton,Apr,5,0,0,5,4,1,0,0
576,Hebron,Apr,12,2,0,14,7,1,0,0
577,Kent,Apr,7,1,0,8,7,0,0,0
578,Killingly,Apr,132,37,0,169,130,4,13,7
579,Killingworth,Apr,9,0,0,9,3,2,6,6
580,Lebanon,Apr,12,6,0,18,15,0,4,2
581,Ledyard,Apr,90,10,0,100,59,5,11,8
582,Lisbon,Apr,9,3,0,12,12,0,0,0
583,Litchfield,Apr,15,3,0,18,8,1,1,1
584,Lyme,Apr,5,3,0,8,4,0,0,0
585,Madison,Apr,63,9,0,72,24,3,7,6
586,Manchester,Apr,398,99,1,498,173,19,29,7
587,Mansfield,Apr,54,8,0,62,36,8,0,0
588,Marlborough,Apr,7,2,0,9,6,1,1,1
589,Meriden,Apr,511,133,0,644,316,26,67,29
590,Middlebury,Apr,7,0,0,7,2,0,1,1
591,Middlefield,Apr,9,2,0,11,9,1,1,1
592,Middletown,Apr,314,36,0,350,103,15,25,13
593,Milford,Apr,150,18,0,168,66,5,16,8
594,Monroe,Apr,40,3,0,43,21,7,1,0
595,Montville,Apr,97,16,0,113,55,11,8,5
596,Morris,Apr,2,2,0,4,3,0,2,0
597,Naugatuck,Apr,240,24,1,265,157,34,25,9
598,New Britain,Apr,885,218,1,1104,264,41,78,38
599,New Canaan,Apr,41,2,0,43,18,1,2,2
600,New Fairfield,Apr,40,1,1,42,34,0,0,0
601,New Hartford,Apr,11,6,0,17,12,2,1,1
602,New Haven,Apr,3932,745,1,4678,1917,164,268,95
603,New London,Apr,1098,105,1,1204,121,26,55,41
604,New Milford,Apr,136,9,0,145,90,4,9,3
605,Newington,Apr,52,12,0,64,57,1,13,10
606,Newtown,Apr,66,11,0,77,59,6,7,3
607,Norfolk,Apr,5,1,0,6,5,0,0,0
608,North Branford,Apr,26,6,0,32,11,4,5,2
609,North Canaan,Apr,21,2,0,23,16,2,2,1
610,North Haven,Apr,52,7,0,59,13,4,1,1
611,North Stonington,Apr,17,4,0,21,18,0,0,0
612,Norwalk,Apr,1743,123,0,1866,170,23,34,15
613,Norwich,Apr,419,148,2,569,126,20,45,24
614,Old Lyme,Apr,21,2,0,23,6,2,2,2
615,Old Saybrook,Apr,44,7,0,51,19,2,2,2
616,Orange,Apr,21,3,0,24,12,0,1,0
617,Oxford,Apr,39,5,0,44,32,3,0,0
618,Plainfield,Apr,86,15,5,106,42,4,15,5
619,Plainville,Apr,92,10,0,102,37,3,2,0
620,Plymouth,Apr,64,6,0,70,24,8,12,12
621,Pomfret,Apr,12,10,0,22,8,0,1,1
622,Portland,Apr,22,11,0,33,15,3,7,2
623,Preston,Apr,12,3,0,15,13,0,0,0
624,Prospect,Apr,16,2,0,18,16,0,2,2
625,Putnam,Apr,117,28,1,146,87,7,3,2
626,Redding,Apr,19,1,0,20,13,2,0,0
627,Ridgefield,Apr,47,6,0,53,28,0,6,4
628,Rocky Hill,Apr,37,8,0,45,11,5,3,3
629,Roxbury,Apr,1,1,0,2,1,1,0,0
630,Salem,Apr,20,0,0,20,11,0,0,0
631,Salisbury,Apr,8,4,0,12,9,0,3,2
632,Scotland,Apr,8,1,0,9,4,0,0,0
633,Seymour,Apr,61,10,0,71,47,8,6,3
634,Sharon,Apr,5,1,0,6,5,0,0,0
635,Shelton,Apr,139,30,0,169,55,12,11,8
636,Sherman,Apr,4,2,0,6,5,0,0,0
637,Simsbury,Apr,24,8,0,32,27,1,3,0
638,Somers,Apr,11,4,0,15,11,0,3,1
639,South Windsor,Apr,34,8,1,43,20,4,4,3
640,Southbury,Apr,22,3,0,25,20,2,1,1
641,Southington,Apr,102,11,0,113,62,3,12,5
642,Sprague,Apr,8,13,1,22,12,3,0,0
643,Stafford,Apr,74,13,0,87,60,5,2,1
644,Stamford,Apr,2360,270,3,2633,522,47,49,16
645,Sterling,Apr,27,2,0,29,14,0,2,0
646,Stonington,Apr,112,15,0,127,38,5,3,2
647,Stratford,Apr,366,76,0,442,66,19,25,15
648,Suffield,Apr,21,4,0,25,17,1,1,0
649,Thomaston,Apr,15,4,0,19,10,2,2,2
650,Thompson,Apr,66,26,4,96,47,2,6,5
651,Tolland,Apr,34,0,0,34,28,0,1,1
652,Torrington,Apr,284,28,1,313,183,25,47,21
653,Trumbull,Apr,75,10,0,85,35,2,3,0
654,Union,Apr,2,0,0,2,2,0,0,0
655,Vernon,Apr,155,34,1,190,105,12,15,10
656,Voluntown,Apr,4,4,0,8,6,1,0,0
657,Wallingford,Apr,83,19,1,103,28,5,13,8
658,Warren,Apr,0,0,0,0,0,0,0,0
659,Washington,Apr,13,0,0,13,12,0,0,0
660,Waterbury,Apr,2532,316,5,2853,1605,234,259,107
661,Waterford,Apr,44,7,0,51,11,2,0,0
662,Watertown,Apr,51,11,0,62,41,14,15,5
663,West Hartford,Apr,101,13,0,114,73,3,15,10
664,West Haven,Apr,674,73,0,747,217,23,39,22
665,Westbrook,Apr,29,4,0,33,29,0,1,1
666,Weston,Apr,19,0,0,19,10,1,0,0
667,Westport,Apr,58,6,0,64,48,0,0,0
668,Wethersfield,Apr,64,7,0,71,50,10,10,6
669,Willington,Apr,25,4,0,29,19,3,0,0
670,Wilton,Apr,23,0,0,23,15,0,3,1
671,Winchester,Apr,83,5,0,88,25,11,13,10
672,Windham,Apr,655,144,19,818,254,12,36,19
673,Windsor,Apr,124,21,1,146,82,14,5,5
674,Windsor Locks,Apr,48,7,0,55,37,0,10,8
675,Wolcott,Apr,43,7,0,50,22,2,7,5
676,Woodbridge,Apr,7,2,0,9,2,1,1,1
677,Woodbury,Apr,25,2,0,27,21,4,3,3
678,Woodstock,Apr,14,5,2,21,14,1,1,1
679,Grand Total,Apr,32664,5111,82,37857,13855,1531,2267,1131
680,Andover,May,2,1,0,3,2,0,0,0
681,Ansonia,May,216,27,0,243,110,9,18,14
682,Ashford,May,36,4,1,41,22,0,0,0
683,Avon,May,16,2,0,18,7,1,0,0
684,Barkhamsted,May,7,1,0,8,5,0,0,0
685,Beacon Falls,May,17,8,0,25,22,1,3,1
686,Berlin,May,33,10,0,43,39,4,2,1
687,Bethany,May,13,0,0,13,9,1,2,1
688,Bethel,May,80,8,0,88,35,0,9,5
689,Bethlehem,May,8,0,0,8,6,0,1,1
690,Bloomfield,May,87,18,0,105,45,6,11,5
691,Bolton,May,8,1,0,9,7,0,1,1
692,Bozrah,May,1,0,0,1,0,0,1,1
693,Branford,May,149,20,0,169,63,6,16,8
694,Bridgeport,May,4227,625,1,4853,745,121,198,89
695,Bridgewater,May,3,1,0,4,4,0,0,0
696,Bristol,May,449,38,1,488,176,15,35,13
697,Brookfield,May,42,5,0,47,40,1,4,1
698,Brooklyn,May,33,5,1,39,23,2,1,0
699,Burlington,May,9,1,0,10,6,2,0,0
700,Canaan,May,3,0,0,3,1,0,0,0
701,Canterbury,May,5,2,1,8,3,2,2,2
702,Canton,May,12,1,0,13,9,0,0,0
703,Chaplin,May,8,5,2,15,14,0,0,0
704,Cheshire,May,45,9,0,54,25,2,9,5
705,Chester,May,5,0,0,5,3,0,1,1
706,Clinton,May,48,10,0,58,46,2,4,2
707,Colchester,May,27,6,0,33,23,3,4,2
708,Colebrook,May,0,0,0,0,0,0,0,0
709,Columbia,May,7,2,0,9,9,0,0,0
710,Cornwall,May,1,0,0,1,1,0,0,0
711,Coventry,May,27,2,0,29,21,0,2,1
712,Cromwell,May,21,0,0,21,3,0,6,6
713,Danbury,May,1905,137,4,2046,793,27,54,18
714,Darien,May,31,2,0,33,9,0,0,0
715,Deep River,May,19,5,0,24,17,1,0,0
716,Derby,May,141,19,0,160,130,3,15,8
717,Durham,May,7,1,0,8,2,0,0,0
718,East Granby,May,12,1,0,13,11,1,2,1
719,East Haddam,May,18,2,0,20,18,0,0,0
720,East Hampton,May,27,4,0,31,17,0,2,2
721,East Hartford,May,517,101,7,625,143,37,56,35
722,East Haven,May,192,39,0,231,52,9,18,11
723,East Lyme,May,55,5,0,60,42,4,4,2
724,East Windsor,May,47,11,1,59,37,2,3,2
725,Eastford,May,5,2,0,7,5,0,0,0
726,Easton,May,10,0,0,10,9,0,0,0
727,Ellington,May,29,3,0,32,28,0,2,2
728,Enfield,May,196,30,1,227,195,9,17,5
729,Essex,May,11,0,0,11,3,1,0,0
730,Fairfield,May,164,20,0,184,74,3,9,5
731,Farmington,May,24,0,0,24,24,0,4,4
732,Franklin,May,0,1,0,1,0,0,0,0
733,Glastonbury,May,35,2,0,37,22,0,0,0
734,Goshen,May,0,0,0,0,0,0,0,0
735,Granby,May,20,2,0,22,14,0,0,0
736,Greenwich,May,184,24,1,209,28,4,6,1
737,Griswold,May,36,11,0,47,37,0,7,6
738,Groton,May,448,38,0,486,169,16,31,21
739,Guilford,May,35,8,0,43,16,2,3,2
740,Haddam,May,12,1,0,13,3,1,1,1
741,Hamden,May,314,50,0,364,104,24,44,28
742,Hampton,May,8,3,0,11,5,0,0,0
743,Hartford,May,2302,596,8,2906,1772,158,248,107
744,Hartland,May,2,0,0,2,2,0,0,0
745,Harwinton,May,4,0,0,4,4,0,1,1
746,Hebron,May,10,2,0,12,6,1,3,2
747,Kent,May,7,1,0,8,7,0,0,0
748,Killingly,May,137,32,1,170,126,8,13,7
749,Killingworth,May,9,0,0,9,3,0,1,1
750,Lebanon,May,12,6,0,18,15,0,3,2
751,Ledyard,May,101,9,0,110,59,14,5,3
752,Lisbon,May,8,3,0,11,11,0,1,1
753,Litchfield,May,17,3,0,20,10,1,0,0
754,Lyme,May,5,3,0,8,4,0,0,0
755,Madison,May,63,9,0,72,25,0,0,0
756,Manchester,May,406,91,1,498,178,13,33,17
757,Mansfield,May,54,11,0,65,37,3,0,0
758,Marlborough,May,7,2,0,9,6,0,1,1
759,Meriden,May,505,124,0,629,305,26,54,26
760,Middlebury,May,7,0,0,7,2,0,0,0
761,Middlefield,May,9,1,0,10,9,0,5,3
762,Middletown,May,320,34,0,354,99,16,16,7
763,Milford,May,151,14,0,165,64,8,14,8
764,Monroe,May,38,3,0,41,22,0,3,2
765,Montville,May,89,16,0,105,55,4,16,9
766,Morris,May,2,2,0,4,3,0,0,0
767,Naugatuck,May,239,25,1,265,150,25,32,15
768,New Britain,May,894,226,1,1121,275,62,92,52
769,New Canaan,May,41,3,0,44,18,2,4,3
770,New Fairfield,May,41,1,1,43,34,2,1,0
771,New Hartford,May,12,6,0,18,14,3,4,3
772,New Haven,May,3926,744,1,4671,1898,142,216,99
773,New London,May,1102,120,1,1223,126,34,30,13
774,New Milford,May,141,9,0,150,96,11,7,6
775,Newington,May,51,13,0,64,57,3,6,4
776,Newtown,May,65,8,0,73,57,3,14,8
777,Norfolk,May,6,1,0,7,7,1,1,1
778,North Branford,May,27,3,0,30,10,1,5,3
779,North Canaan,May,19,2,0,21,16,0,3,2
780,North Haven,May,52,8,0,60,13,3,3,1
781,North Stonington,May,18,4,0,22,18,1,1,0
782,Norwalk,May,1743,127,0,1870,175,25,35,18
783,Norwich,May,435,145,2,582,125,29,39,20
784,Old Lyme,May,21,2,0,23,6,0,2,1
785,Old Saybrook,May,45,7,0,52,19,1,1,1
786,Orange,May,21,0,0,21,12,0,3,1
787,Oxford,May,39,5,0,44,32,1,2,2
788,Plainfield,May,95,16,5,116,44,13,3,2
789,Plainville,May,89,8,0,97,38,3,12,5
790,Plymouth,May,70,3,0,73,26,4,8,4
791,Pomfret,May,12,10,0,22,8,0,0,0
792,Portland,May,22,8,0,30,15,0,4,4
793,Preston,May,14,3,0,17,13,2,0,0
794,Prospect,May,16,3,0,19,16,1,0,0
795,Putnam,May,117,30,1,148,86,5,5,2
796,Redding,May,17,1,0,18,13,0,2,0
797,Ridgefield,May,46,6,0,52,28,1,2,0
798,Rocky Hill,May,38,5,0,43,11,1,4,3
799,Roxbury,May,1,0,0,1,1,0,2,1
800,Salem,May,19,0,0,19,13,0,1,1
801,Salisbury,May,7,4,0,11,8,1,5,2
802,Scotland,May,8,1,0,9,4,0,0,0
803,Seymour,May,59,9,0,68,46,4,9,2
804,Sharon,May,5,1,0,6,5,0,0,0
805,Shelton,May,137,26,0,163,52,4,16,10
806,Sherman,May,5,2,0,7,6,1,0,0
807,Simsbury,May,20,8,0,28,25,0,4,3
808,Somers,May,12,4,0,16,12,1,0,0
809,South Windsor,May,33,9,1,43,20,2,3,2
810,Southbury,May,20,1,0,21,16,0,3,2
811,Southington,May,107,11,0,118,63,9,6,5
812,Sprague,May,10,13,1,24,12,2,1,0
813,Stafford,May,74,13,0,87,60,2,4,1
814,Stamford,May,2368,272,3,2643,525,28,21,8
815,Sterling,May,25,2,1,28,14,1,3,0
816,Stonington,May,112,19,0,131,38,6,3,1
817,Stratford,May,362,80,0,442,66,14,19,5
818,Suffield,May,21,4,0,25,18,1,2,2
819,Thomaston,May,19,5,0,24,11,6,3,1
820,Thompson,May,63,26,4,93,42,3,6,0
821,Tolland,May,35,1,0,36,28,2,0,0
822,Torrington,May,283,33,1,317,190,21,26,9
823,Trumbull,May,73,10,0,83,35,4,7,3
824,Union,May,2,0,0,2,2,0,0,0
825,Vernon,May,155,34,1,190,104,13,18,13
826,Voluntown,May,3,4,0,7,6,0,1,1
827,Wallingford,May,90,19,1,110,31,9,8,4
828,Warren,May,0,0,0,0,0,0,0,0
829,Washington,May,9,0,0,9,8,0,4,0
830,Waterbury,May,2538,313,5,2856,1557,166,227,87
831,Waterford,May,43,7,0,50,11,1,11,11
832,Watertown,May,51,8,0,59,47,6,18,13
833,West Hartford,May,101,14,0,115,73,2,4,2
834,West Haven,May,675,72,0,747,208,27,31,23
835,Westbrook,May,30,4,0,34,29,1,1,1
836,Weston,May,19,0,0,19,10,0,2,1
837,Westport,May,59,6,0,65,48,0,0,0
838,Wethersfield,May,60,6,0,66,52,7,13,4
839,Willington,May,25,4,0,29,19,0,0,0
840,Wilton,May,25,0,0,25,17,2,1,0
841,Winchester,May,85,5,0,90,25,7,7,5
842,Windham,May,654,141,19,814,250,17,38,25
843,Windsor,May,124,19,1,144,84,2,7,4
844,Windsor Locks,May,49,7,0,56,37,1,2,1
845,Wolcott,May,48,9,0,57,21,7,5,3
846,Woodbridge,May,7,2,0,9,2,1,1,1
847,Woodbury,May,25,2,0,27,20,2,4,2
848,Woodstock,May,14,5,2,21,14,0,0,0
849,Grand Total,May,32655,5083,84,37822,13796,1336,2113,1043
850,Andover,Jun,1,0,0,1,1,0,2,2
851,Ansonia,Jun,219,27,0,246,109,13,21,14
852,Ashford,Jun,38,4,1,43,21,3,1,0
853,Avon,Jun,16,1,0,17,6,2,4,3
854,Barkhamsted,Jun,8,1,0,9,5,1,2,0
855,Beacon Falls,Jun,17,9,0,26,22,1,0,0
856,Berlin,Jun,32,9,0,41,38,0,5,2
857,Bethany,Jun,11,0,0,11,8,0,2,2
858,Bethel,Jun,79,8,0,87,34,4,3,2
859,Bethlehem,Jun,8,0,0,8,6,0,1,1
860,Bloomfield,Jun,95,17,0,112,47,12,9,5
861,Bolton,Jun,8,1,0,9,7,0,0,0
862,Bozrah,Jun,1,0,0,1,0,0,0,0
863,Branford,Jun,148,21,0,169,61,8,4,2
864,Bridgeport,Jun,4245,611,1,4857,742,171,208,99
865,Bridgewater,Jun,3,1,0,4,4,0,0,0
866,Bristol,Jun,432,41,1,474,172,13,45,23
867,Brookfield,Jun,40,4,0,44,39,0,5,5
868,Brooklyn,Jun,34,5,2,41,24,2,2,0
869,Burlington,Jun,9,1,0,10,5,1,2,2
870,Canaan,Jun,3,0,0,3,1,0,0,0
871,Canterbury,Jun,3,2,1,6,3,0,2,1
872,Canton,Jun,13,1,0,14,10,1,0,0
873,Chaplin,Jun,8,5,2,15,14,0,0,0
874,Cheshire,Jun,40,6,0,46,28,7,17,7
875,Chester,Jun,6,0,0,6,3,0,1,1
876,Clinton,Jun,46,10,0,56,46,0,4,2
877,Colchester,Jun,27,7,0,34,24,4,4,2
878,Colebrook,Jun,0,0,0,0,0,0,0,0
879,Columbia,Jun,6,2,0,8,8,0,2,1
880,Cornwall,Jun,1,0,0,1,1,0,0,0
881,Coventry,Jun,28,3,0,31,23,2,2,2
882,Cromwell,Jun,22,0,0,22,3,1,3,1
883,Danbury,Jun,1883,140,4,2027,797,31,24,10
884,Darien,Jun,31,2,0,33,9,0,0,0
885,Deep River,Jun,19,4,0,23,16,0,1,1
886,Derby,Jun,148,19,0,167,126,13,6,3
887,Durham,Jun,7,1,0,8,2,0,1,1
888,East Granby,Jun,11,1,0,12,11,0,1,0
889,East Haddam,Jun,18,2,0,20,18,0,1,1
890,East Hampton,Jun,28,4,0,32,18,3,2,2
891,East Hartford,Jun,510,110,7,627,143,37,39,22
892,East Haven,Jun,189,37,0,226,54,14,19,10
893,East Lyme,Jun,60,7,0,67,42,8,2,0
894,East Windsor,Jun,59,11,1,71,36,12,3,3
895,Eastford,Jun,5,2,0,7,5,0,0,0
896,Easton,Jun,11,0,0,11,9,1,0,0
897,Ellington,Jun,29,3,0,32,27,0,1,1
898,Enfield,Jun,196,32,1,229,199,5,9,6
899,Essex,Jun,11,0,0,11,3,0,0,0
900,Fairfield,Jun,165,20,0,185,73,6,7,3
901,Farmington,Jun,25,0,0,25,23,3,1,1
902,Franklin,Jun,1,1,0,2,0,1,0,0
903,Glastonbury,Jun,36,3,0,39,23,4,7,6
904,Goshen,Jun,0,0,0,0,0,0,0,0
905,Granby,Jun,19,2,0,21,14,0,1,0
906,Greenwich,Jun,184,24,1,209,27,2,4,1
907,Griswold,Jun,36,13,0,49,37,2,4,4
908,Groton,Jun,451,47,0,498,169,23,20,12
909,Guilford,Jun,34,8,0,42,15,0,2,1
910,Haddam,Jun,13,3,0,16,5,3,0,0
911,Hamden,Jun,318,54,0,372,101,19,20,9
912,Hampton,Jun,8,3,0,11,5,0,0,0
913,Hartford,Jun,2328,606,8,2942,1780,169,211,84
914,Hartland,Jun,3,0,0,3,2,1,0,0
915,Harwinton,Jun,4,0,0,4,4,0,0,0
916,Hebron,Jun,9,2,0,11,6,0,1,1
917,Kent,Jun,7,1,0,8,7,0,1,0
918,Killingly,Jun,135,31,1,167,126,0,15,12
919,Killingworth,Jun,8,0,0,8,2,0,1,0
920,Lebanon,Jun,13,6,0,19,15,1,0,0
921,Ledyard,Jun,97,9,0,106,58,3,10,9
922,Lisbon,Jun,9,4,0,13,11,1,0,0
923,Litchfield,Jun,14,4,0,18,9,1,3,2
924,Lyme,Jun,5,3,0,8,4,0,0,0
925,Madison,Jun,63,9,0,72,26,1,2,1
926,Manchester,Jun,402,102,1,505,175,29,39,13
927,Mansfield,Jun,53,8,0,61,36,1,9,5
928,Marlborough,Jun,7,1,0,8,6,0,1,1
929,Meriden,Jun,512,120,0,632,310,22,46,24
930,Middlebury,Jun,9,0,0,9,1,1,0,0
931,Middlefield,Jun,9,1,0,10,9,0,0,0
932,Middletown,Jun,321,36,0,357,101,15,32,18
933,Milford,Jun,150,16,0,166,64,10,8,3
934,Monroe,Jun,38,3,0,41,23,4,2,0
935,Montville,Jun,93,18,0,111,56,10,9,9
936,Morris,Jun,2,2,0,4,3,0,0,0
937,Naugatuck,Jun,224,26,1,251,143,11,32,20
938,New Britain,Jun,892,229,1,1122,272,62,81,39
939,New Canaan,Jun,39,2,0,41,18,0,3,1
940,New Fairfield,Jun,37,1,1,39,30,0,2,0
941,New Hartford,Jun,12,6,0,18,11,3,2,2
942,New Haven,Jun,3875,754,1,4630,1872,131,224,99
943,New London,Jun,1095,126,1,1222,121,40,51,21
944,New Milford,Jun,137,9,0,146,91,6,13,1
945,Newington,Jun,49,14,0,63,55,4,7,4
946,Newtown,Jun,64,8,0,72,62,3,5,3
947,Norfolk,Jun,5,1,0,6,6,0,1,0
948,North Branford,Jun,23,4,0,27,8,1,5,2
949,North Canaan,Jun,19,2,0,21,16,1,1,1
950,North Haven,Jun,52,7,0,59,13,1,7,3
951,North Stonington,Jun,18,4,0,22,18,0,0,0
952,Norwalk,Jun,1752,126,0,1878,177,33,34,13
953,Norwich,Jun,440,147,2,589,126,25,50,30
954,Old Lyme,Jun,20,2,0,22,5,0,1,1
955,Old Saybrook,Jun,47,7,0,54,19,2,0,0
956,Orange,Jun,24,0,0,24,13,3,0,0
957,Oxford,Jun,39,6,0,45,33,1,0,0
958,Plainfield,Jun,90,15,4,109,43,1,22,8
959,Plainville,Jun,88,7,0,95,39,2,10,9
960,Plymouth,Jun,70,2,0,72,24,4,10,7
961,Pomfret,Jun,12,10,0,22,8,0,0,0
962,Portland,Jun,21,8,0,29,16,0,1,1
963,Preston,Jun,13,3,0,16,12,0,0,0
964,Prospect,Jun,18,3,0,21,16,2,0,0
965,Putnam,Jun,119,30,1,150,86,7,4,2
966,Redding,Jun,17,1,0,18,13,0,3,0
967,Ridgefield,Jun,44,6,0,50,27,0,1,1
968,Rocky Hill,Jun,39,5,0,44,11,1,4,4
969,Roxbury,Jun,1,0,0,1,1,0,0,0
970,Salem,Jun,19,2,0,21,15,2,0,0
971,Salisbury,Jun,9,4,0,13,9,2,0,0
972,Scotland,Jun,6,1,0,7,3,0,2,0
973,Seymour,Jun,60,7,0,67,45,5,9,7
974,Sharon,Jun,6,1,0,7,6,1,0,0
975,Shelton,Jun,125,24,0,149,48,10,26,21
976,Sherman,Jun,6,2,0,8,8,1,0,0
977,Simsbury,Jun,21,5,0,26,22,1,3,3
978,Somers,Jun,12,4,0,16,12,0,1,0
979,South Windsor,Jun,33,12,1,46,19,4,5,5
980,Southbury,Jun,25,1,0,26,20,4,1,1
981,Southington,Jun,102,13,0,115,62,5,15,11
982,Sprague,Jun,8,13,1,22,12,1,5,3
983,Stafford,Jun,75,10,0,85,60,4,15,8
984,Stamford,Jun,2377,270,3,2650,526,53,53,25
985,Sterling,Jun,25,2,1,28,14,0,1,1
986,Stonington,Jun,104,16,0,120,38,2,6,1
987,Stratford,Jun,356,75,0,431,68,17,40,23
988,Suffield,Jun,21,4,0,25,18,3,4,3
989,Thomaston,Jun,13,4,0,17,9,0,7,5
990,Thompson,Jun,69,26,4,99,44,6,1,0
991,Tolland,Jun,37,2,0,39,29,3,1,1
992,Torrington,Jun,273,34,1,308,181,20,50,22
993,Trumbull,Jun,73,10,0,83,35,5,4,4
994,Union,Jun,2,0,0,2,2,0,0,0
995,Vernon,Jun,156,36,1,193,105,12,21,6
996,Voluntown,Jun,3,4,0,7,6,0,1,1
997,Wallingford,Jun,94,18,1,113,31,9,6,4
998,Warren,Jun,0,0,0,0,0,0,0,0
999,Washington,Jun,10,0,0,10,9,1,0,0
1000,Waterbury,Jun,2513,300,5,2818,1506,157,272,116
1001,Waterford,Jun,40,5,0,45,10,0,12,3
1002,Watertown,Jun,46,9,0,55,45,4,12,5
1003,West Hartford,Jun,112,16,0,128,79,11,4,2
1004,West Haven,Jun,655,61,0,716,212,17,63,38
1005,Westbrook,Jun,30,6,0,36,30,2,1,1
1006,Weston,Jun,18,0,0,18,10,0,1,0
1007,Westport,Jun,63,7,0,70,50,5,3,2
