,Municipality,Month,FTA Warrants,VOP Warrants,OTI Warrants,Total Warrants,Warrants with LEA,Issued Warrants,Served Warrants  For Month,Warrants Foreign Served
113,Preston,Jan,12,3,0,15,13,2,1,1
114,Prospect,Jan,19,2,0,21,17,1,0,0
115,Putnam,Jan,110,29,1,140,80,2,6,2
116,Redding,Jan,18,1,0,19,12,0,2,1
117,Ridgefield,Jan,55,6,0,61,31,2,0,0
118,Rocky Hill,Jan,33,6,0,39,13,1,0,0
119,Roxbury,Jan,1,0,0,1,1,0,1,1
120,Salem,Jan,20,2,0,22,13,2,1,0
121,Salisbury,Jan,10,4,0,14,9,1,0,0
122,Scotland,Jan,6,1,0,7,1,0,0,0
123,Seymour,Jan,61,15,0,76,59,4,9,4
124,Sharon,Jan,5,1,0,6,5,0,1,0
125,Shelton,Jan,133,30,0,163,50,9,6,5
126,Sherman,Jan,4,2,0,6,5,0,2,0
127,Simsbury,Jan,21,8,0,29,21,2,2,2
128,Somers,Jan,13,4,0,17,10,2,2,0
129,South Windsor,Jan,33,8,1,42,20,2,3,2
130,Southbury,Jan,23,1,0,24,15,2,6,6
131,Southington,Jan,118,10,0,128,68,5,8,6
132,Sprague,Jan,7,12,1,20,12,0,10,6
133,Stafford,Jan,72,10,0,82,65,1,3,0
134,Stamford,Jan,2345,279,3,2627,508,33,34,13
135,Sterling,Jan,25,4,0,29,13,2,0,0
136,Stonington,Jan,111,12,0,123,38,8,2,0
137,Stratford,Jan,355,82,0,437,61,18,23,14
138,Suffield,Jan,20,3,0,23,17,0,1,0
139,Thomaston,Jan,20,5,0,25,10,7,5,4
140,Thompson,Jan,68,28,4,100,46,5,6,0
141,Tolland,Jan,32,0,0,32,27,0,14,13
142,Torrington,Jan,308,33,1,342,193,61,38,16
143,Trumbull,Jan,78,6,0,84,37,3,0,0
144,Union,Jan,2,0,0,2,2,0,0,0
145,Vernon,Jan,157,37,1,195,104,7,19,9
146,Voluntown,Jan,3,4,0,7,6,0,0,0
147,Wallingford,Jan,85,16,1,102,27,6,6,3
148,Warren,Jan,0,0,0,0,0,0,5,2
149,Washington,Jan,13,2,0,15,14,2,0,0
150,Waterbury,Jan,2507,341,5,2853,1739,240,194,67
151,Waterford,Jan,51,2,0,53,10,8,5,4
152,Watertown,Jan,54,7,0,61,52,12,6,3
153,West Hartford,Jan,112,17,0,129,78,6,10,7
154,West Haven,Jan,692,83,0,775,218,45,39,24
155,Westbrook,Jan,30,7,0,37,31,1,2,2
156,Weston,Jan,18,0,0,18,10,0,0,0
157,Westport,Jan,59,5,0,64,48,2,8,7
158,Wethersfield,Jan,64,6,0,70,50,3,11,7
159,Willington,Jan,22,3,0,25,20,0,0,0
160,Wilton,Jan,27,0,0,27,14,2,0,0
161,Winchester,Jan,79,8,0,87,27,12,13,8
162,Windham,Jan,661,150,19,830,255,24,27,14
163,Windsor,Jan,116,20,1,137,75,7,18,9
164,Windsor Locks,Jan,54,6,0,60,43,0,5,3
165,Wolcott,Jan,57,4,0,61,23,10,3,2
166,Woodbridge,Jan,7,2,0,9,2,0,0,0
167,Woodbury,Jan,24,1,0,25,22,1,0,0
168,Woodstock,Jan,12,5,2,19,14,0,0,0
169,Grand Total,Jan,33025,5267,82,38374,14015,1754,2046,1005
170,Andover,Feb,1,0,0,1,1,0,0,0
171,Ansonia,Feb,231,26,0,257,118,11,17,11
172,Ashford,Feb,25,1,1,27,21,1,4,2
173,Avon,Feb,18,1,0,19,7,0,2,2
174,Barkhamsted,Feb,6,1,0,7,4,0,0,0
175,Beacon Falls,Feb,20,10,0,30,24,0,2,1
176,Berlin,Feb,32,10,0,42,39,2,9,7
177,Bethany,Feb,15,1,0,16,10,0,0,0
178,Bethel,Feb,87,9,1,97,41,3,4,0
179,Bethlehem,Feb,7,0,0,7,5,0,1,1
180,Bloomfield,Feb,90,17,0,107,46,8,17,3
181,Bolton,Feb,7,1,0,8,6,1,0,0
182,Bozrah,Feb,0,1,0,1,0,1,1,1
183,Branford,Feb,148,25,0,173,63,13,12,8
184,Bridgeport,Feb,4307,614,1,4922,764,165,203,103
185,Bridgewater,Feb,5,1,0,6,6,0,0,0
186,Bristol,Feb,453,40,1,494,180,32,50,29
187,Brookfield,Feb,55,4,0,59,51,3,0,0
188,Brooklyn,Feb,35,5,1,41,24,0,4,2
189,Burlington,Feb,9,1,0,10,7,2,0,0
190,Canaan,Feb,2,0,0,2,0,0,0,0
191,Canterbury,Feb,3,2,1,6,3,0,4,1
192,Canton,Feb,14,1,0,15,9,2,1,1
193,Chaplin,Feb,10,5,2,17,14,2,1,1
194,Cheshire,Feb,43,3,0,46,27,1,4,4
195,Chester,Feb,5,0,0,5,3,0,1,0
196,Clinton,Feb,52,11,0,63,48,4,2,1
197,Colchester,Feb,24,10,0,34,24,6,1,1
198,Colebrook,Feb,1,0,0,1,1,0,0,0
199,Columbia,Feb,7,2,0,9,8,1,0,0
200,Cornwall,Feb,1,0,0,1,1,0,0,0
201,Coventry,Feb,26,8,0,34,22,0,3,3
202,Cromwell,Feb,23,1,0,24,4,2,3,3
203,Danbury,Feb,1945,145,4,2094,811,24,37,15
204,Darien,Feb,27,2,0,29,9,1,0,0
205,Deep River,Feb,23,4,0,27,19,0,0,0
206,Derby,Feb,147,23,0,170,128,2,12,10
207,Durham,Feb,9,1,0,10,2,0,0,0
208,East Granby,Feb,13,1,0,14,12,1,0,0
209,East Haddam,Feb,20,2,0,22,20,0,1,1
210,East Hampton,Feb,34,5,0,39,21,0,1,1
211,East Hartford,Feb,523,102,7,632,146,37,41,23
212,East Haven,Feb,184,42,0,226,49,7,23,11
213,East Lyme,Feb,52,3,0,55,38,4,5,3
214,East Windsor,Feb,49,10,1,60,40,1,2,1
215,Eastford,Feb,5,2,0,7,5,0,4,1
216,Easton,Feb,10,0,0,10,9,0,0,0
