,Municipality,Month,FTA Warrants,VOP Warrants,OTI Warrants,Total Warrants,Warrants with LEA,Issued Warrants,Served Warrants  For Month,Warrants Foreign Served
0,Andover,April,2,0,0,2,2,0,0,0
1,Ansonia,April,221,30,0,251,97,9,20,10
2,Ashford,April,19,2,1,22,18,0,1,0
3,Avon,April,9,3,0,12,2,2,0,0
4,Barkhamsted,April,8,0,0,8,4,3,0,0
5,Beacon Falls,April,27,8,0,35,26,5,1,1
6,Berlin,April,25,10,2,37,35,1,4,2
7,Bethany,April,20,3,0,23,11,0,1,0
8,Bethel,April,81,10,1,92,31,4,3,1
9,Bethlehem,April,6,0,0,6,4,1,0,0
10,Bloomfield,April,88,18,0,106,49,11,15,4
11,Bolton,April,6,1,0,7,7,0,0,0
12,Bozrah,April,10,0,0,10,10,1,1,0
13,Branford,April,180,11,0,191,68,12,10,6
14,Bridgeport,April,3678,540,1,4219,627,124,239,117
15,Bridgewater,April,4,1,0,5,4,0,0,0
16,Bristol,April,410,45,0,455,123,34,49,24
17,Brookfield,April,41,2,1,44,31,4,6,4
18,Brooklyn,April,35,6,1,42,25,3,1,1
19,Burlington,April,11,5,0,16,7,4,3,1
20,Canaan,April,2,0,0,2,2,0,0,0
21,Canterbury,April,10,3,0,13,10,1,1,0
22,Canton,April,15,2,0,17,12,2,0,0
23,Chaplin,April,5,3,2,10,9,0,2,1
24,Cheshire,April,41,1,0,42,22,2,8,5
25,Chester,April,6,0,0,6,2,1,3,1
26,Clinton,April,43,6,0,49,22,2,0,0
27,Colchester,April,26,5,0,31,30,2,2,0
28,Colebrook,April,1,0,0,1,1,0,0,0
29,Columbia,April,8,3,0,11,11,1,2,0
30,Cornwall,April,0,0,0,0,0,0,1,1
31,Coventry,April,29,8,0,37,22,3,1,0
32,Cromwell,April,37,5,0,42,13,4,5,2
33,Danbury,April,1840,174,5,2019,712,40,42,15
34,Darien,April,34,2,0,36,11,1,7,3
35,Deep River,April,21,4,0,25,14,1,6,3
36,Derby,April,139,20,0,159,126,6,8,6
37,Durham,April,12,1,0,13,2,0,1,0
38,East Granby,April,8,2,0,10,9,0,0,0
39,East Haddam,April,16,1,0,17,16,2,1,0
40,East Hampton,April,37,5,0,42,19,6,6,4
41,East Hartford,April,522,95,8,625,99,41,61,37
42,East Haven,April,223,33,0,256,43,11,15,8
43,East Lyme,April,47,7,0,54,49,2,12,4
44,East Windsor,April,55,12,1,68,35,3,7,6
45,Eastford,April,6,2,0,8,6,0,0,0
46,Easton,April,13,0,0,13,12,2,1,1
