"Municipality *","FTA Warrants","VOP Warrants","OTI Warrants","Total Warrants"
"Salem","16","3","0","19"
"Salisbury","6","4","0","10"
"Scotland","5","1","0","6"
"Seymour","68","11","0","79"
"Sharon","3","1","0","4"
"Shelton","137","20","0","157"
"Sherman","4","0","0","4"
"Simsbury","20","6","0","26"
"Somers","15","2","0","17"
"South Windsor","31","8","1","40"
"Southbury","23","1","0","24"
"Southington","112","12","0","124"
"Sprague","13","12","1","26"
"Stafford","75","8","0","83"
"Stamford","2,452","284","2","2,738"
"Sterling","27","1","0","28"
"Stonington","96","15","0","111"
"Stratford","352","73","0","425"
"Suffield","17","4","0","21"
"Thomaston","16","4","0","20"
"Thompson","63","25","4","92"
"Tolland","36","0","0","36"
"Torrington","289","28","1","318"
"Trumbull","76","10","0","86"
"Union","2","0","0","2"
"Vernon","162","33","1","196"
"Voluntown","4","3","0","7"
"Wallingford","97","17","1","115"
"Warren","0","0","0","0"
"Washington","11","3","0","14"
