"Municipality *","FTA Warrants","VOP Warrants","OTI Warrants","Total Warrants"
"Haddam","13","3","0","16"
"Hamden","324","51","0","375"
"Hampton","7","3","0","10"
"Hartford","2,329","622","8","2,959"
"Hartland","3","0","0","3"
"Harwinton","4","0","0","4"
"Hebron","9","2","0","11"
"Kent","5","1","0","6"
"Killingly","139","32","1","172"
"Killingworth","7","0","0","7"
"Lebanon","10","6","0","16"
"Ledyard","91","9","0","100"
"Lisbon","9","3","0","12"
"Litchfield","13","3","0","16"
"Lyme","5","3","0","8"
"Madison","59","7","0","66"
"Manchester","390","100","1","491"
"Mansfield","56","8","0","64"
"Marlborough","7","2","0","9"
"Meriden","512","129","0","641"
"Middlebury","10","0","0","10"
"Middlefield","9","1","0","10"
"Middletown","315","34","0","349"
"Milford","143","18","0","161"
"Monroe","33","3","0","36"
"Montville","95","20","0","115"
"Morris","2","2","0","4"
"Naugatuck","232","31","1","264"
"New Britain","891","228","1","1,120"
"New Canaan","39","2","0","41"
