"Municipality *","FTA Warrants","VOP Warrants","OTI Warrants","Total Warrants"
"Salem","19","2","0","21"
"Salisbury","9","4","0","13"
"Scotland","6","1","0","7"
"Seymour","60","7","0","67"
"Sharon","6","1","0","7"
"Shelton","125","24","0","149"
"Sherman","6","2","0","8"
"Simsbury","21","5","0","26"
"Somers","12","4","0","16"
"South Windsor","33","12","1","46"
"Southbury","25","1","0","26"
"Southington","102","13","0","115"
"Sprague","8","13","1","22"
"Stafford","75","10","0","85"
"Stamford","2,377","270","3","2,650"
"Sterling","25","2","1","28"
"Stonington","104","16","0","120"
"Stratford","356","75","0","431"
"Suffield","21","4","0","25"
"Thomaston","13","4","0","17"
"Thompson","69","26","4","99"
"Tolland","37","2","0","39"
"Torrington","273","34","1","308"
"Trumbull","73","10","0","83"
"Union","2","0","0","2"
"Vernon","156","36","1","193"
"Voluntown","3","4","0","7"
"Wallingford","94","18","1","113"
"Warren","0","0","0","0"
"Washington","10","0","0","10"
