"Municipality *","FTA Warrants","VOP Warrants","OTI Warrants","Total Warrants"
"Andover","1","0","0","1"
"Ansonia","231","26","0","257"
"Ashford","25","1","1","27"
"Avon","18","1","0","19"
"Barkhamsted","6","1","0","7"
"Beacon Falls","20","10","0","30"
"Berlin","32","10","0","42"
"Bethany","15","1","0","16"
"Bethel","87","9","1","97"
"Bethlehem","7","0","0","7"
"Bloomfield","90","17","0","107"
"Bolton","7","1","0","8"
"Bozrah","0","1","0","1"
"Branford","148","25","0","173"
"Bridgeport","4,307","614","1","4,922"
"Bridgewater","5","1","0","6"
"Bristol","453","40","1","494"
"Brookfield","55","4","0","59"
"Brooklyn","35","5","1","41"
"Burlington","9","1","0","10"
"Canaan","2","0","0","2"
"Canterbury","3","2","1","6"
"Canton","14","1","0","15"
"Chaplin","10","5","2","17"
"Cheshire","43","3","0","46"
"Chester","5","0","0","5"
"Clinton","52","11","0","63"
"Colchester","24","10","0","34"
"Colebrook","1","0","0","1"
"Columbia","7","2","0","9"
