"Municipality *","Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
"New Fairfield","30","1","1","1"
"New Hartford","11","2","5","3"
"New Haven","1,803","132","236","131"
"New London","122","29","55","37"
"New Milford","89","9","15","8"
"Newington","57","7","3","1"
"Newtown","56","2","5","1"
"Norfolk","6","0","0","0"
"North Branford","8","2","1","1"
"North Canaan","18","2","1","1"
"North Haven","13","1","1","1"
"North Stonington","18","0","0","0"
"Norwalk","173","34","49","19"
"Norwich","125","24","56","32"
"Old Lyme","4","2","6","6"
"Old Saybrook","23","5","1","1"
"Orange","12","0","1","1"
"Oxford","32","0","6","4"
"Plainfield","43","6","14","11"
"Plainville","40","5","0","0"
"Plymouth","23","4","10","7"
"Pomfret","8","1","0","0"
"Portland","18","3","1","0"
"Preston","13","0","0","0"
"Prospect","16","0","3","2"
"Putnam","86","4","6","4"
"Redding","13","0","0","0"
"Ridgefield","29","3","0","0"
"Rocky Hill","11","1","4","3"
"Roxbury","1","0","0","0"
