"Municipality *","FTA Warrants","VOP Warrants","OTI Warrants","Total Warrants"
"New Fairfield","38","1","1","40"
"New Hartford","12","6","0","18"
"New Haven","3,861","743","1","4,605"
"New London","1,119","125","1","1,245"
"New Milford","128","7","0","135"
"Newington","56","16","0","72"
"Newtown","63","5","0","68"
"Norfolk","5","1","0","6"
"North Branford","23","7","0","30"
"North Canaan","20","1","0","21"
"North Haven","60","11","0","71"
"North Stonington","18","4","0","22"
"Norwalk","1,768","125","0","1,893"
"Norwich","437","148","2","587"
"Old Lyme","19","0","0","19"
"Old Saybrook","43","9","0","52"
"Orange","23","0","0","23"
"Oxford","35","4","0","39"
"Plainfield","95","16","3","114"
"Plainville","89","9","0","98"
"Plymouth","63","2","0","65"
"Pomfret","13","8","0","21"
"Portland","22","8","0","30"
"Preston","13","3","0","16"
"Prospect","19","1","0","20"
"Putnam","118","25","1","144"
"Redding","17","1","0","18"
"Ridgefield","44","6","0","50"
"Rocky Hill","39","5","0","44"
"Roxbury","1","0","0","1"
