"Municipality *","Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
"Waterbury","1,605","234","259","107"
"Waterford","11","2","0","0"
"Watertown","41","14","15","5"
"West Hartford","73","3","15","10"
"West Haven","217","23","39","22"
"Westbrook","29","0","1","1"
"Weston","10","1","0","0"
"Westport","48","0","0","0"
"Wethersfield","50","10","10","6"
"Willington","19","3","0","0"
"Wilton","15","0","3","1"
"Winchester","25","11","13","10"
"Windham","254","12","36","19"
"Windsor","82","14","5","5"
"Windsor Locks","37","0","10","8"
"Wolcott","22","2","7","5"
"Woodbridge","2","1","1","1"
"Woodbury","21","4","3","3"
"Woodstock","14","1","1","1"
"Grand Total","13,855","1,531","2,267","1,131"
