"Municipality *","FTA Warrants","VOP Warrants","OTI Warrants","Total Warrants"
"Haddam","13","3","0","16"
"Hamden","318","54","0","372"
"Hampton","8","3","0","11"
"Hartford","2,328","606","8","2,942"
"Hartland","3","0","0","3"
"Harwinton","4","0","0","4"
"Hebron","9","2","0","11"
"Kent","7","1","0","8"
"Killingly","135","31","1","167"
"Killingworth","8","0","0","8"
"Lebanon","13","6","0","19"
"Ledyard","97","9","0","106"
"Lisbon","9","4","0","13"
"Litchfield","14","4","0","18"
"Lyme","5","3","0","8"
"Madison","63","9","0","72"
"Manchester","402","102","1","505"
"Mansfield","53","8","0","61"
"Marlborough","7","1","0","8"
"Meriden","512","120","0","632"
"Middlebury","9","0","0","9"
"Middlefield","9","1","0","10"
"Middletown","321","36","0","357"
"Milford","150","16","0","166"
"Monroe","38","3","0","41"
"Montville","93","18","0","111"
"Morris","2","2","0","4"
"Naugatuck","224","26","1","251"
"New Britain","892","229","1","1,122"
"New Canaan","39","2","0","41"
