"Municipality *","Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
"Haddam","3","0","1","1"
"Hamden","112","28","30","12"
"Hampton","5","0","0","0"
"Hartford","1,737","118","271","135"
"Hartland","2","0","0","0"
"Harwinton","4","1","0","0"
"Hebron","7","1","0","0"
"Kent","7","0","0","0"
"Killingly","130","4","13","7"
"Killingworth","3","2","6","6"
"Lebanon","15","0","4","2"
"Ledyard","59","5","11","8"
"Lisbon","12","0","0","0"
"Litchfield","8","1","1","1"
"Lyme","4","0","0","0"
"Madison","24","3","7","6"
"Manchester","173","19","29","7"
"Mansfield","36","8","0","0"
"Marlborough","6","1","1","1"
"Meriden","316","26","67","29"
"Middlebury","2","0","1","1"
"Middlefield","9","1","1","1"
"Middletown","103","15","25","13"
"Milford","66","5","16","8"
"Monroe","21","7","1","0"
"Montville","55","11","8","5"
"Morris","3","0","2","0"
"Naugatuck","157","34","25","9"
"New Britain","264","41","78","38"
"New Canaan","18","1","2","2"
