"Municipality *","FTA Warrants","VOP Warrants","OTI Warrants","Total Warrants"
"Haddam","12","0","0","12"
"Hamden","318","51","0","369"
"Hampton","8","3","0","11"
"Hartford","2,277","600","8","2,885"
"Hartland","2","0","0","2"
"Harwinton","5","0","0","5"
"Hebron","12","2","0","14"
"Kent","7","1","0","8"
"Killingly","132","37","0","169"
"Killingworth","9","0","0","9"
"Lebanon","12","6","0","18"
"Ledyard","90","10","0","100"
"Lisbon","9","3","0","12"
"Litchfield","15","3","0","18"
"Lyme","5","3","0","8"
"Madison","63","9","0","72"
"Manchester","398","99","1","498"
"Mansfield","54","8","0","62"
"Marlborough","7","2","0","9"
"Meriden","511","133","0","644"
"Middlebury","7","0","0","7"
"Middlefield","9","2","0","11"
"Middletown","314","36","0","350"
"Milford","150","18","0","168"
"Monroe","40","3","0","43"
"Montville","97","16","0","113"
"Morris","2","2","0","4"
"Naugatuck","240","24","1","265"
"New Britain","885","218","1","1,104"
"New Canaan","41","2","0","43"
