"Municipality *","FTA Warrants","VOP Warrants","OTI Warrants","Total Warrants"
"Andover","1","0","0","1"
"Ansonia","219","27","0","246"
"Ashford","38","4","1","43"
"Avon","16","1","0","17"
"Barkhamsted","8","1","0","9"
"Beacon Falls","17","9","0","26"
"Berlin","32","9","0","41"
"Bethany","11","0","0","11"
"Bethel","79","8","0","87"
"Bethlehem","8","0","0","8"
"Bloomfield","95","17","0","112"
"Bolton","8","1","0","9"
"Bozrah","1","0","0","1"
"Branford","148","21","0","169"
"Bridgeport","4,245","611","1","4,857"
"Bridgewater","3","1","0","4"
"Bristol","432","41","1","474"
"Brookfield","40","4","0","44"
"Brooklyn","34","5","2","41"
"Burlington","9","1","0","10"
"Canaan","3","0","0","3"
"Canterbury","3","2","1","6"
"Canton","13","1","0","14"
"Chaplin","8","5","2","15"
"Cheshire","40","6","0","46"
"Chester","6","0","0","6"
"Clinton","46","10","0","56"
"Colchester","27","7","0","34"
"Colebrook","0","0","0","0"
"Columbia","6","2","0","8"
