"Municipality *","FTA Warrants","VOP Warrants","OTI Warrants","Total Warrants"
"Cornwall","1","0","0","1"
"Coventry","28","3","0","31"
"Cromwell","22","0","0","22"
"Danbury","1,851","145","4","2,000"
"Darien","27","2","0","29"
"Deep River","19","4","0","23"
"Derby","142","20","0","162"
"Durham","7","1","0","8"
"East Granby","10","1","0","11"
"East Haddam","21","2","0","23"
"East Hampton","25","5","0","30"
"East Hartford","526","108","7","641"
"East Haven","192","41","0","233"
"East Lyme","56","4","0","60"
"East Windsor","53","10","1","64"
"Eastford","5","3","0","8"
"Easton","11","0","0","11"
"Ellington","31","5","0","36"
"Enfield","186","33","1","220"
"Essex","11","0","0","11"
"Fairfield","160","22","0","182"
"Farmington","21","0","0","21"
"Franklin","1","1","0","2"
"Glastonbury","39","3","0","42"
"Goshen","0","0","0","0"
"Granby","21","2","0","23"
"Greenwich","183","24","0","207"
"Griswold","39","11","0","50"
"Groton","459","39","0","498"
"Guilford","35","9","0","44"
