"Municipality *","FTA Warrants","VOP Warrants","OTI Warrants","Total Warrants"
"Andover","1","0","0","1"
"Ansonia","216","34","0","250"
"Ashford","23","4","1","28"
"Avon","16","1","0","17"
"Barkhamsted","9","1","0","10"
"Beacon Falls","20","8","0","28"
"Berlin","35","6","0","41"
"Bethany","15","0","0","15"
"Bethel","75","9","0","84"
"Bethlehem","11","0","0","11"
"Bloomfield","89","24","0","113"
"Bolton","5","1","0","6"
"Bozrah","1","1","0","2"
"Branford","149","23","0","172"
"Bridgeport","4,269","604","1","4,874"
"Bridgewater","3","1","0","4"
"Bristol","448","43","1","492"
"Brookfield","40","6","0","46"
"Brooklyn","33","5","1","39"
"Burlington","10","1","0","11"
"Canaan","2","0","0","2"
"Canterbury","3","3","1","7"
"Canton","13","2","0","15"
"Chaplin","8","5","2","15"
"Cheshire","41","1","0","42"
"Chester","5","2","0","7"
"Clinton","47","9","0","56"
"Colchester","22","11","0","33"
"Colebrook","0","0","0","0"
"Columbia","6","2","0","8"
