"Municipality *","FTA Warrants","VOP Warrants","OTI Warrants","Total Warrants"
"Haddam","15","0","0","15"
"Hamden","320","55","0","375"
"Hampton","9","4","0","13"
"Hartford","2,385","630","8","3,023"
"Hartland","2","0","0","2"
"Harwinton","4","0","0","4"
"Hebron","11","2","0","13"
"Kent","7","1","0","8"
"Killingly","135","34","0","169"
"Killingworth","7","0","0","7"
"Lebanon","10","6","0","16"
"Ledyard","89","14","0","103"
"Lisbon","9","3","0","12"
"Litchfield","16","3","0","19"
"Lyme","5","3","0","8"
"Madison","59","9","0","68"
"Manchester","387","97","1","485"
"Mansfield","51","3","0","54"
"Marlborough","6","1","0","7"
"Meriden","565","130","0","695"
"Middlebury","10","0","0","10"
"Middlefield","10","1","0","11"
"Middletown","303","38","0","341"
"Milford","152","25","0","177"
"Monroe","28","6","0","34"
"Montville","85","17","0","102"
"Morris","2","2","0","4"
"Naugatuck","220","23","1","244"
"New Britain","921","235","1","1,157"
"New Canaan","39","2","0","41"
