"Municipality *","Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
"Andover","1","0","2","2"
"Ansonia","109","13","21","14"
"Ashford","21","3","1","0"
"Avon","6","2","4","3"
"Barkhamsted","5","1","2","0"
"Beacon Falls","22","1","0","0"
"Berlin","38","0","5","2"
"Bethany","8","0","2","2"
"Bethel","34","4","3","2"
"Bethlehem","6","0","1","1"
"Bloomfield","47","12","9","5"
"Bolton","7","0","0","0"
"Bozrah","0","0","0","0"
"Branford","61","8","4","2"
"Bridgeport","742","171","208","99"
"Bridgewater","4","0","0","0"
"Bristol","172","13","45","23"
"Brookfield","39","0","5","5"
"Brooklyn","24","2","2","0"
"Burlington","5","1","2","2"
"Canaan","1","0","0","0"
"Canterbury","3","0","2","1"
"Canton","10","1","0","0"
"Chaplin","14","0","0","0"
"Cheshire","28","7","17","7"
"Chester","3","0","1","1"
"Clinton","46","0","4","2"
"Colchester","24","4","4","2"
"Colebrook","0","0","0","0"
"Columbia","8","0","2","1"
