"Municipality *","FTA Warrants","VOP Warrants","OTI Warrants","Total Warrants"
"Andover","2","1","0","3"
"Ansonia","216","27","0","243"
"Ashford","36","4","1","41"
"Avon","16","2","0","18"
"Barkhamsted","7","1","0","8"
"Beacon Falls","17","8","0","25"
"Berlin","33","10","0","43"
"Bethany","13","0","0","13"
"Bethel","80","8","0","88"
"Bethlehem","8","0","0","8"
"Bloomfield","87","18","0","105"
"Bolton","8","1","0","9"
"Bozrah","1","0","0","1"
"Branford","149","20","0","169"
"Bridgeport","4,227","625","1","4,853"
"Bridgewater","3","1","0","4"
"Bristol","449","38","1","488"
"Brookfield","42","5","0","47"
"Brooklyn","33","5","1","39"
"Burlington","9","1","0","10"
"Canaan","3","0","0","3"
"Canterbury","5","2","1","8"
"Canton","12","1","0","13"
"Chaplin","8","5","2","15"
"Cheshire","45","9","0","54"
"Chester","5","0","0","5"
"Clinton","48","10","0","58"
"Colchester","27","6","0","33"
"Colebrook","0","0","0","0"
"Columbia","7","2","0","9"
