"Municipality *","FTA Warrants","VOP Warrants","OTI Warrants","Total Warrants"
"Waterbury","2,497","323","5","2,825"
"Waterford","47","2","0","49"
"Watertown","52","8","0","60"
"West Hartford","110","14","0","124"
"West Haven","688","79","0","767"
"Westbrook","33","7","0","40"
"Weston","18","0","0","18"
"Westport","60","5","0","65"
"Wethersfield","64","10","0","74"
"Willington","23","3","0","26"
"Wilton","26","0","0","26"
"Winchester","74","6","0","80"
"Windham","666","145","19","830"
"Windsor","114","19","1","134"
"Windsor Locks","48","7","0","55"
"Wolcott","49","10","0","59"
"Woodbridge","7","3","0","10"
"Woodbury","24","1","0","25"
"Woodstock","13","5","2","20"
"Grand Total","33,020","5,211","84","38,315"
