"Municipality *","FTA Warrants","VOP Warrants","OTI Warrants","Total Warrants"
"Cornwall","0","0","0","0"
"Coventry","32","4","0","36"
"Cromwell","36","2","2","40"
"Danbury","1,717","162","3","1,882"
"Darien","23","6","0","29"
"Deep River","24","4","0","28"
"Derby","110","15","0","125"
"Durham","15","1","0","16"
"East Granby","8","2","0","10"
"East Haddam","17","4","0","21"
"East Hampton","44","7","0","51"
"East Hartford","487","88","32","607"
"East Haven","225","31","0","256"
"East Lyme","38","7","0","45"
"East Windsor","44","12","2","58"
"Eastford","3","2","0","5"
"Easton","10","2","0","12"
"Ellington","34","9","0","43"
"Enfield","165","31","6","202"
"Essex","18","1","0","19"
"Fairfield","164","14","0","178"
"Farmington","24","8","1","33"
"Franklin","8","1","0","9"
"Glastonbury","29","8","0","37"
"Goshen","4","0","0","4"
"Granby","11","0","2","13"
"Greenwich","249","17","0","266"
"Griswold","56","10","0","66"
"Groton","401","33","0","434"
"Guilford","41","6","0","47"
