"Municipality *","FTA Warrants","VOP Warrants","OTI Warrants","Total Warrants"
"New Fairfield","40","1","1","42"
"New Hartford","9","6","0","15"
"New Haven","3,986","759","1","4,746"
"New London","1,118","105","1","1,224"
"New Milford","141","9","0","150"
"Newington","58","16","0","74"
"Newtown","68","8","0","76"
"Norfolk","5","1","0","6"
"North Branford","29","5","0","34"
"North Canaan","21","1","0","22"
"North Haven","51","5","0","56"
"North Stonington","17","4","0","21"
"Norwalk","1,740","124","1","1,865"
"Norwich","426","147","2","575"
"Old Lyme","19","4","0","23"
"Old Saybrook","46","5","0","51"
"Orange","24","3","0","27"
"Oxford","36","5","0","41"
"Plainfield","85","20","5","110"
"Plainville","92","9","0","101"
"Plymouth","65","6","0","71"
"Pomfret","13","10","0","23"
"Portland","22","14","0","36"
"Preston","12","3","0","15"
"Prospect","18","2","0","20"
"Putnam","111","28","1","140"
"Redding","17","1","0","18"
"Ridgefield","54","7","0","61"
"Rocky Hill","37","4","0","41"
"Roxbury","1","0","0","1"
