"Municipality *","Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants  
For Month","Warrants 
Foreign Served 
For Month"
"Cornwall","0","0","0","0"
"Coventry","17","0","8","6"
"Cromwell","23","2","3","2"
"Danbury","540","34","48","21"
"Darien","6","3","2","0"
"Deep River","12","1","0","0"
"Derby","106","10","11","4"
"Durham","1","0","1","1"
"East Granby","6","2","0","0"
"East Haddam","20","5","0","0"
"East Hampton","24","4","2","1"
"East Hartford","85","34","50","31"
"East Haven","36","17","8","5"
"East Lyme","35","3","6","2"
"East Windsor","23","0","5","4"
"Eastford","5","0","0","0"
"Easton","10","1","1","1"
"Ellington","27","3","8","4"
"Enfield","134","15","17","12"
"Essex","10","2","0","0"
"Fairfield","74","7","7","4"
"Farmington","22","1","3","1"
"Franklin","3","1","0","0"
"Glastonbury","21","0","7","3"
"Goshen","3","0","0","0"
"Granby","8","0","3","1"
"Greenwich","52","3","16","6"
"Griswold","47","2","5","2"
"Groton","134","8","21","13"
"Guilford","15","3","9","8"
