"Municipality *","FTA Warrants","VOP Warrants","OTI Warrants","Total Warrants"
"Andover","2","1","0","3"
"Ansonia","218","25","0","243"
"Ashford","36","4","1","41"
"Avon","15","1","0","16"
"Barkhamsted","7","1","0","8"
"Beacon Falls","18","7","0","25"
"Berlin","30","10","0","40"
"Bethany","13","0","0","13"
"Bethel","86","8","0","94"
"Bethlehem","8","0","0","8"
"Bloomfield","89","17","0","106"
"Bolton","8","2","0","10"
"Bozrah","2","0","0","2"
"Branford","148","22","0","170"
"Bridgeport","4,277","626","1","4,904"
"Bridgewater","3","1","0","4"
"Bristol","443","39","1","483"
"Brookfield","48","5","0","53"
"Brooklyn","31","5","1","37"
"Burlington","7","1","0","8"
"Canaan","3","0","0","3"
"Canterbury","4","2","1","7"
"Canton","12","1","0","13"
"Chaplin","8","5","2","15"
"Cheshire","54","10","0","64"
"Chester","6","0","0","6"
"Clinton","49","9","0","58"
"Colchester","26","7","0","33"
"Colebrook","0","0","0","0"
"Columbia","7","2","0","9"
