"Municipality *","Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
"Cornwall","1","0","0","0"
"Coventry","21","5","2","2"
"Cromwell","3","0","3","2"
"Danbury","806","25","26","10"
"Darien","9","0","5","4"
"Deep River","16","0","1","1"
"Derby","131","4","8","2"
"Durham","2","0","0","0"
"East Granby","11","1","0","0"
"East Haddam","20","4","1","0"
"East Hampton","19","5","3","1"
"East Hartford","148","24","42","23"
"East Haven","53","13","17","7"
"East Lyme","46","1","7","5"
"East Windsor","35","5","9","3"
"Eastford","5","0","0","0"
"Easton","9","0","0","0"
"Ellington","27","3","0","0"
"Enfield","195","4","31","19"
"Essex","3","0","0","0"
"Fairfield","74","8","8","4"
"Farmington","20","2","2","1"
"Franklin","0","0","0","0"
"Glastonbury","26","2","5","4"
"Goshen","0","0","0","0"
"Granby","14","1","0","0"
"Greenwich","27","1","2","0"
"Griswold","37","2","5","4"
"Groton","170","25","18","12"
"Guilford","15","0","0","0"
