"Municipality *","Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
"Andover","1","0","0","0"
"Ansonia","107","18","33","21"
"Ashford","21","2","2","2"
"Avon","7","3","0","0"
"Barkhamsted","3","2","0","0"
"Beacon Falls","21","3","3","1"
"Berlin","36","1","4","3"
"Bethany","8","6","2","1"
"Bethel","31","4","9","7"
"Bethlehem","5","2","5","3"
"Bloomfield","52","13","18","11"
"Bolton","7","1","1","1"
"Bozrah","0","0","1","1"
"Branford","59","15","10","1"
"Bridgeport","749","139","180","89"
"Bridgewater","4","0","0","0"
"Bristol","161","22","55","29"
"Brookfield","33","3","3","2"
"Brooklyn","25","3","1","1"
"Burlington","4","0","5","4"
"Canaan","1","0","0","0"
"Canterbury","4","1","0","0"
"Canton","9","1","1","1"
"Chaplin","14","1","0","0"
"Cheshire","25","1","0","0"
"Chester","5","0","0","0"
"Clinton","43","0","2","1"
"Colchester","17","0","8","4"
"Colebrook","0","0","0","0"
"Columbia","8","0","0","0"
