"Municipality *","FTA Warrants","VOP Warrants","OTI Warrants","Total Warrants"
"Waterbury","2,538","313","5","2,856"
"Waterford","43","7","0","50"
"Watertown","51","8","0","59"
"West Hartford","101","14","0","115"
"West Haven","675","72","0","747"
"Westbrook","30","4","0","34"
"Weston","19","0","0","19"
"Westport","59","6","0","65"
"Wethersfield","60","6","0","66"
"Willington","25","4","0","29"
"Wilton","25","0","0","25"
"Winchester","85","5","0","90"
"Windham","654","141","19","814"
"Windsor","124","19","1","144"
"Windsor Locks","49","7","0","56"
"Wolcott","48","9","0","57"
"Woodbridge","7","2","0","9"
"Woodbury","25","2","0","27"
"Woodstock","14","5","2","21"
"Grand Total","32,655","5,083","84","37,822"
