"Municipality *","Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
"Andover","1","0","0","0"
"Ansonia","120","10","17","9"
"Ashford","21","0","0","0"
"Avon","7","2","1","1"
"Barkhamsted","4","0","0","0"
"Beacon Falls","25","1","1","1"
"Berlin","42","2","6","4"
"Bethany","10","0","0","0"
"Bethel","38","3","3","2"
"Bethlehem","5","1","0","0"
"Bloomfield","46","7","6","1"
"Bolton","7","1","0","0"
"Bozrah","0","0","0","0"
"Branford","61","8","12","8"
"Bridgeport","752","180","187","94"
"Bridgewater","6","0","0","0"
"Bristol","180","36","36","22"
"Brookfield","34","4","4","1"
"Brooklyn","26","1","1","0"
"Burlington","6","0","2","1"
"Canaan","0","0","1","0"
"Canterbury","3","0","3","1"
"Canton","9","1","2","1"
"Chaplin","14","0","1","0"
"Cheshire","26","13","13","11"
"Chester","3","0","0","0"
"Clinton","48","1","2","1"
"Colchester","20","0","0","0"
"Colebrook","1","0","0","0"
"Columbia","8","0","0","0"
