"Municipality *","Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
"Cornwall","1","0","0","0"
"Coventry","21","1","4","4"
"Cromwell","3","2","0","0"
"Danbury","802","39","30","15"
"Darien","9","2","3","3"
"Deep River","16","1","0","0"
"Derby","128","7","7","5"
"Durham","2","0","0","0"
"East Granby","10","0","2","2"
"East Haddam","20","0","0","0"
"East Hampton","19","0","4","3"
"East Hartford","143","41","48","24"
"East Haven","54","13","18","12"
"East Lyme","46","2","3","0"
"East Windsor","34","3","15","13"
"Eastford","5","1","0","0"
"Easton","9","0","0","0"
"Ellington","27","1","4","2"
"Enfield","189","8","16","8"
"Essex","3","0","0","0"
"Fairfield","74","2","6","3"
"Farmington","21","0","1","1"
"Franklin","0","0","0","0"
"Glastonbury","25","4","1","1"
"Goshen","0","0","0","0"
"Granby","14","2","1","0"
"Greenwich","27","2","4","4"
"Griswold","37","2","7","7"
"Groton","168","20","38","23"
"Guilford","15","2","0","0"
