"Municipality *","Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
"Haddam","4","0","2","1"
"Hamden","111","22","37","17"
"Hampton","6","1","0","0"
"Hartford","1,847","166","224","97"
"Hartland","2","0","0","0"
"Harwinton","4","2","10","3"
"Hebron","6","0","1","0"
"Kent","7","0","1","1"
"Killingly","127","7","13","5"
"Killingworth","2","0","0","0"
"Lebanon","14","1","0","0"
"Ledyard","57","9","12","8"
"Lisbon","11","0","0","0"
"Litchfield","8","1","2","0"
"Lyme","4","0","0","0"
"Madison","24","8","1","0"
"Manchester","172","29","39","26"
"Mansfield","36","7","0","0"
"Marlborough","7","0","0","0"
"Meriden","345","30","59","33"
"Middlebury","2","0","2","0"
"Middlefield","11","0","0","0"
"Middletown","103","37","31","21"
"Milford","71","18","19","10"
"Monroe","21","5","2","1"
"Montville","55","8","14","8"
"Morris","3","0","0","0"
"Naugatuck","141","17","18","13"
"New Britain","262","35","101","41"
"New Canaan","16","2","0","0"
