"Municipality *","FTA Warrants","VOP Warrants","OTI Warrants","Total Warrants"
"Waterbury","2,513","300","5","2,818"
"Waterford","40","5","0","45"
"Watertown","46","9","0","55"
"West Hartford","112","16","0","128"
"West Haven","655","61","0","716"
"Westbrook","30","6","0","36"
"Weston","18","0","0","18"
"Westport","63","7","0","70"
"Wethersfield","58","7","0","65"
"Willington","28","4","0","32"
"Wilton","24","0","0","24"
"Winchester","94","5","0","99"
"Windham","652","141","19","812"
"Windsor","129","19","1","149"
"Windsor Locks","49","7","0","56"
"Wolcott","47","9","0","56"
"Woodbridge","8","2","0","10"
"Woodbury","27","2","0","29"
"Woodstock","13","5","2","20"
"Grand Total","32,564","5,108","84","37,756"
