"Municipality *","Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
"Cornwall","1","0","0","0"
"Coventry","23","2","2","2"
"Cromwell","3","1","3","1"
"Danbury","797","31","24","10"
"Darien","9","0","0","0"
"Deep River","16","0","1","1"
"Derby","126","13","6","3"
"Durham","2","0","1","1"
"East Granby","11","0","1","0"
"East Haddam","18","0","1","1"
"East Hampton","18","3","2","2"
"East Hartford","143","37","39","22"
"East Haven","54","14","19","10"
"East Lyme","42","8","2","0"
"East Windsor","36","12","3","3"
"Eastford","5","0","0","0"
"Easton","9","1","0","0"
"Ellington","27","0","1","1"
"Enfield","199","5","9","6"
"Essex","3","0","0","0"
"Fairfield","73","6","7","3"
"Farmington","23","3","1","1"
"Franklin","0","1","0","0"
"Glastonbury","23","4","7","6"
"Goshen","0","0","0","0"
"Granby","14","0","1","0"
"Greenwich","27","2","4","1"
"Griswold","37","2","4","4"
"Groton","169","23","20","12"
"Guilford","15","0","2","1"
