"Municipality *","Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
"Waterbury","1,739","240","194","67"
"Waterford","10","8","5","4"
"Watertown","52","12","6","3"
"West Hartford","78","6","10","7"
"West Haven","218","45","39","24"
"Westbrook","31","1","2","2"
"Weston","10","0","0","0"
"Westport","48","2","8","7"
"Wethersfield","50","3","11","7"
"Willington","20","0","0","0"
"Wilton","14","2","0","0"
"Winchester","27","12","13","8"
"Windham","255","24","27","14"
"Windsor","75","7","18","9"
"Windsor Locks","43","0","5","3"
"Wolcott","23","10","3","2"
"Woodbridge","2","0","0","0"
"Woodbury","22","1","0","0"
"Woodstock","14","0","0","0"
"Grand Total","14,015","1,754","2,046","1,005"
