"Municipality *","Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
"Cornwall","1","1","0","0"
"Coventry","23","4","2","0"
"Cromwell","2","4","2","2"
"Danbury","796","32","38","16"
"Darien","9","0","0","0"
"Deep River","16","3","1","1"
"Derby","126","3","9","4"
"Durham","1","1","1","1"
"East Granby","8","0","0","0"
"East Haddam","20","0","5","1"
"East Hampton","16","2","1","0"
"East Hartford","146","33","49","26"
"East Haven","53","9","9","6"
"East Lyme","44","9","0","0"
"East Windsor","32","4","1","1"
"Eastford","5","0","1","0"
"Easton","9","0","0","0"
"Ellington","26","3","1","1"
"Enfield","185","7","16","13"
"Essex","3","0","0","0"
"Fairfield","74","3","3","2"
"Farmington","23","2","0","0"
"Franklin","0","0","0","0"
"Glastonbury","24","2","6","5"
"Goshen","1","1","2","2"
"Granby","15","1","6","6"
"Greenwich","27","1","1","0"
"Griswold","37","2","6","2"
"Groton","165","17","17","12"
"Guilford","16","1","2","0"
