"Municipality *","Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
"New Fairfield","31","1","0","0"
"New Hartford","11","2","0","0"
"New Haven","1,832","215","224","118"
"New London","122","65","46","19"
"New Milford","81","2","17","12"
"Newington","56","8","7","6"
"Newtown","57","5","4","3"
"Norfolk","6","0","1","0"
"North Branford","8","2","1","0"
"North Canaan","18","0","1","0"
"North Haven","14","13","5","3"
"North Stonington","18","1","1","1"
"Norwalk","171","22","32","13"
"Norwich","122","40","48","24"
"Old Lyme","4","3","0","0"
"Old Saybrook","21","4","9","8"
"Orange","12","1","0","0"
"Oxford","30","0","2","2"
"Plainfield","43","8","4","3"
"Plainville","40","0","3","1"
"Plymouth","20","5","9","7"
"Pomfret","6","0","2","1"
"Portland","18","1","6","3"
"Preston","12","0","1","0"
"Prospect","16","2","1","1"
"Putnam","88","1","8","5"
"Redding","13","0","0","0"
"Ridgefield","28","0","0","0"
"Rocky Hill","11","2","1","0"
"Roxbury","1","0","1","0"
