"Municipality *","FTA Warrants","VOP Warrants","OTI Warrants","Total Warrants"
"Waterbury","2,107","271","9","2,387"
"Waterford","51","7","0","58"
"Watertown","44","4","0","48"
"West Hartford","95","10","8","113"
"West Haven","581","70","0","651"
"Westbrook","51","7","0","58"
"Weston","11","0","0","11"
"Westport","46","7","0","53"
"Wethersfield","56","9","3","68"
"Willington","19","5","0","24"
"Wilton","25","1","0","26"
"Winchester","32","9","1","42"
"Windham","593","127","19","739"
"Windsor","118","19","4","141"
"Windsor Locks","43","7","0","50"
"Wolcott","31","5","0","36"
"Woodbridge","11","3","0","14"
"Woodbury","20","7","0","27"
"Woodstock","13","1","0","14"
"Grand Total","30,455","4,534","452","35,441"
