"Municipality *","FTA Warrants","VOP Warrants","OTI Warrants","Total Warrants"
"Haddam","14","0","0","14"
"Hamden","315","56","0","371"
"Hampton","10","5","0","15"
"Hartford","2,405","627","8","3,040"
"Hartland","2","0","0","2"
"Harwinton","4","2","0","6"
"Hebron","11","2","0","13"
"Kent","7","1","0","8"
"Killingly","135","38","0","173"
"Killingworth","7","0","0","7"
"Lebanon","11","6","0","17"
"Ledyard","94","12","0","106"
"Lisbon","9","3","0","12"
"Litchfield","14","4","0","18"
"Lyme","5","3","0","8"
"Madison","67","9","0","76"
"Manchester","393","93","1","487"
"Mansfield","52","9","0","61"
"Marlborough","6","1","0","7"
"Meriden","536","133","0","669"
"Middlebury","8","0","0","8"
"Middlefield","10","4","0","14"
"Middletown","323","35","0","358"
"Milford","163","18","0","181"
"Monroe","32","5","0","37"
"Montville","90","16","0","106"
"Morris","2","2","0","4"
"Naugatuck","224","27","1","252"
"New Britain","900","230","1","1,131"
"New Canaan","40","2","0","42"
