"Municipality *","FTA Warrants","VOP Warrants","OTI Warrants","Total Warrants"
"New Fairfield","37","1","1","39"
"New Hartford","10","6","0","16"
"New Haven","3,820","730","1","4,551"
"New London","1,093","118","1","1,212"
"New Milford","135","10","0","145"
"Newington","53","14","0","67"
"Newtown","62","5","0","67"
"Norfolk","5","1","0","6"
"North Branford","24","4","0","28"
"North Canaan","21","1","0","22"
"North Haven","53","9","0","62"
"North Stonington","18","4","0","22"
"Norwalk","1,762","125","0","1,887"
"Norwich","434","143","2","579"
"Old Lyme","17","0","0","17"
"Old Saybrook","47","7","0","54"
"Orange","22","0","0","22"
"Oxford","36","5","0","41"
"Plainfield","86","17","3","106"
"Plainville","90","9","0","99"
"Plymouth","65","2","0","67"
"Pomfret","13","10","0","23"
"Portland","24","8","0","32"
"Preston","13","3","0","16"
"Prospect","17","2","0","19"
"Putnam","120","27","1","148"
"Redding","17","1","0","18"
"Ridgefield","47","6","0","53"
"Rocky Hill","38","5","0","43"
"Roxbury","1","0","0","1"
