"Municipality *","FTA Warrants","VOP Warrants","OTI Warrants","Total Warrants"
"Cornwall","1","0","0","1"
"Coventry","27","2","0","29"
"Cromwell","23","2","0","25"
"Danbury","1,925","141","4","2,070"
"Darien","31","2","0","33"
"Deep River","22","4","0","26"
"Derby","149","19","0","168"
"Durham","7","1","0","8"
"East Granby","12","1","0","13"
"East Haddam","19","2","0","21"
"East Hampton","28","4","0","32"
"East Hartford","510","96","7","613"
"East Haven","196","40","0","236"
"East Lyme","53","4","0","57"
"East Windsor","48","9","1","58"
"Eastford","5","2","0","7"
"Easton","10","0","0","10"
"Ellington","31","3","0","34"
"Enfield","191","31","1","223"
"Essex","10","0","0","10"
"Fairfield","166","20","0","186"
"Farmington","25","1","0","26"
"Franklin","0","1","0","1"
"Glastonbury","35","2","0","37"
"Goshen","0","0","0","0"
"Granby","20","2","0","22"
"Greenwich","187","24","1","212"
"Griswold","37","11","0","48"
"Groton","449","43","0","492"
"Guilford","34","10","0","44"
