"Municipality *","Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
"New Fairfield","30","0","2","0"
"New Hartford","11","3","2","2"
"New Haven","1,872","131","224","99"
"New London","121","40","51","21"
"New Milford","91","6","13","1"
"Newington","55","4","7","4"
"Newtown","62","3","5","3"
"Norfolk","6","0","1","0"
"North Branford","8","1","5","2"
"North Canaan","16","1","1","1"
"North Haven","13","1","7","3"
"North Stonington","18","0","0","0"
"Norwalk","177","33","34","13"
"Norwich","126","25","50","30"
"Old Lyme","5","0","1","1"
"Old Saybrook","19","2","0","0"
"Orange","13","3","0","0"
"Oxford","33","1","0","0"
"Plainfield","43","1","22","8"
"Plainville","39","2","10","9"
"Plymouth","24","4","10","7"
"Pomfret","8","0","0","0"
"Portland","16","0","1","1"
"Preston","12","0","0","0"
"Prospect","16","2","0","0"
"Putnam","86","7","4","2"
"Redding","13","0","3","0"
"Ridgefield","27","0","1","1"
"Rocky Hill","11","1","4","4"
"Roxbury","1","0","0","0"
