"Municipality *","FTA Warrants","VOP Warrants","OTI Warrants","Total Warrants"
"Salem","20","3","0","23"
"Salisbury","6","4","0","10"
"Scotland","7","1","0","8"
"Seymour","63","9","0","72"
"Sharon","5","1","0","6"
"Shelton","126","25","0","151"
"Sherman","5","0","0","5"
"Simsbury","21","5","0","26"
"Somers","16","3","0","19"
"South Windsor","30","8","1","39"
"Southbury","19","2","0","21"
"Southington","109","11","0","120"
"Sprague","10","13","1","24"
"Stafford","74","9","0","83"
"Stamford","2,416","279","3","2,698"
"Sterling","27","1","1","29"
"Stonington","103","16","0","119"
"Stratford","350","72","0","422"
"Suffield","19","4","0","23"
"Thomaston","14","4","0","18"
"Thompson","65","26","4","95"
"Tolland","37","0","0","37"
"Torrington","282","31","1","314"
"Trumbull","71","11","0","82"
"Union","2","0","0","2"
"Vernon","156","35","2","193"
"Voluntown","4","4","0","8"
"Wallingford","88","28","1","117"
"Warren","0","0","0","0"
"Washington","10","0","0","10"
