"Municipality *","Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
"Haddam","3","1","1","1"
"Hamden","104","24","44","28"
"Hampton","5","0","0","0"
"Hartford","1,772","158","248","107"
"Hartland","2","0","0","0"
"Harwinton","4","0","1","1"
"Hebron","6","1","3","2"
"Kent","7","0","0","0"
"Killingly","126","8","13","7"
"Killingworth","3","0","1","1"
"Lebanon","15","0","3","2"
"Ledyard","59","14","5","3"
"Lisbon","11","0","1","1"
"Litchfield","10","1","0","0"
"Lyme","4","0","0","0"
"Madison","25","0","0","0"
"Manchester","178","13","33","17"
"Mansfield","37","3","0","0"
"Marlborough","6","0","1","1"
"Meriden","305","26","54","26"
"Middlebury","2","0","0","0"
"Middlefield","9","0","5","3"
"Middletown","99","16","16","7"
"Milford","64","8","14","8"
"Monroe","22","0","3","2"
"Montville","55","4","16","9"
"Morris","3","0","0","0"
"Naugatuck","150","25","32","15"
"New Britain","275","62","92","52"
"New Canaan","18","2","4","3"
