"Municipality *","Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
"Andover","1","0","1","1"
"Ansonia","108","13","23","8"
"Ashford","21","0","7","3"
"Avon","6","0","0","0"
"Barkhamsted","4","2","0","0"
"Beacon Falls","24","2","1","0"
"Berlin","37","3","9","7"
"Bethany","8","3","1","1"
"Bethel","32","6","2","2"
"Bethlehem","5","4","1","1"
"Bloomfield","46","7","13","8"
"Bolton","6","0","4","3"
"Bozrah","0","1","4","2"
"Branford","58","13","15","7"
"Bridgeport","752","144","211","107"
"Bridgewater","4","0","1","1"
"Bristol","165","37","28","19"
"Brookfield","37","2","5","5"
"Brooklyn","23","2","6","5"
"Burlington","4","1","2","0"
"Canaan","1","0","1","1"
"Canterbury","3","1","2","2"
"Canton","9","2","1","1"
"Chaplin","14","0","0","0"
"Cheshire","25","3","6","5"
"Chester","3","2","0","0"
"Clinton","44","3","4","1"
"Colchester","20","7","3","3"
"Colebrook","0","0","0","0"
"Columbia","8","0","0","0"
