"Municipality *","FTA Warrants","VOP Warrants","OTI Warrants","Total Warrants"
"Cornwall","2","0","0","2"
"Coventry","27","2","0","29"
"Cromwell","18","0","0","18"
"Danbury","1,742","151","4","1,897"
"Darien","23","2","0","25"
"Deep River","17","4","0","21"
"Derby","150","18","0","168"
"Durham","10","1","0","11"
"East Granby","9","1","0","10"
"East Haddam","17","2","0","19"
"East Hampton","25","4","0","29"
"East Hartford","512","107","7","626"
"East Haven","201","49","0","250"
"East Lyme","62","6","0","68"
"East Windsor","56","11","1","68"
"Eastford","5","2","0","7"
"Easton","12","0","0","12"
"Ellington","34","6","0","40"
"Enfield","189","34","1","224"
"Essex","12","0","0","12"
"Fairfield","158","18","0","176"
"Farmington","24","0","0","24"
"Franklin","2","1","0","3"
"Glastonbury","42","6","0","48"
"Goshen","2","0","0","2"
"Granby","20","2","0","22"
"Greenwich","180","23","0","203"
"Griswold","46","12","0","58"
"Groton","467","45","0","512"
"Guilford","35","11","0","46"
