"Municipality *","FTA Warrants","VOP Warrants","OTI Warrants","Total Warrants"
"Haddam","12","1","0","13"
"Hamden","314","50","0","364"
"Hampton","8","3","0","11"
"Hartford","2,302","596","8","2,906"
"Hartland","2","0","0","2"
"Harwinton","4","0","0","4"
"Hebron","10","2","0","12"
"Kent","7","1","0","8"
"Killingly","137","32","1","170"
"Killingworth","9","0","0","9"
"Lebanon","12","6","0","18"
"Ledyard","101","9","0","110"
"Lisbon","8","3","0","11"
"Litchfield","17","3","0","20"
"Lyme","5","3","0","8"
"Madison","63","9","0","72"
"Manchester","406","91","1","498"
"Mansfield","54","11","0","65"
"Marlborough","7","2","0","9"
"Meriden","505","124","0","629"
"Middlebury","7","0","0","7"
"Middlefield","9","1","0","10"
"Middletown","320","34","0","354"
"Milford","151","14","0","165"
"Monroe","38","3","0","41"
"Montville","89","16","0","105"
"Morris","2","2","0","4"
"Naugatuck","239","25","1","265"
"New Britain","894","226","1","1,121"
"New Canaan","41","3","0","44"
