"Municipality *","Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
"Waterbury","1,747","145","220","93"
"Waterford","11","3","13","2"
"Watertown","49","12","14","9"
"West Hartford","77","7","18","13"
"West Haven","217","30","37","19"
"Westbrook","32","4","2","2"
"Weston","10","0","0","0"
"Westport","49","2","1","1"
"Wethersfield","52","8","6","0"
"Willington","20","1","0","0"
"Wilton","15","0","1","1"
"Winchester","26","4","14","10"
"Windham","257","22","33","16"
"Windsor","73","6","11","7"
"Windsor Locks","37","2","11","9"
"Wolcott","26","8","14","8"
"Woodbridge","2","1","0","0"
"Woodbury","21","2","3","1"
"Woodstock","14","0","2","0"
"Grand Total","14,192","1,528","2,266","1,109"
