"Municipality *","Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
"Andover","1","0","0","0"
"Ansonia","107","6","31","19"
"Ashford","21","0","2","1"
"Avon","5","2","2","0"
"Barkhamsted","3","0","0","0"
"Beacon Falls","18","1","3","3"
"Berlin","36","2","4","1"
"Bethany","7","1","6","5"
"Bethel","31","2","4","3"
"Bethlehem","5","0","2","2"
"Bloomfield","47","11","16","4"
"Bolton","7","0","0","0"
"Bozrah","0","1","0","0"
"Branford","62","7","9","6"
"Bridgeport","737","159","200","100"
"Bridgewater","4","1","2","1"
"Bristol","163","28","29","18"
"Brookfield","36","5","1","1"
"Brooklyn","24","0","2","1"
"Burlington","4","0","1","0"
"Canaan","1","0","0","0"
"Canterbury","3","0","1","1"
"Canton","9","1","1","0"
"Chaplin","13","0","2","1"
"Cheshire","24","0","0","0"
"Chester","3","0","2","2"
"Clinton","42","1","2","1"
"Colchester","17","1","1","1"
"Colebrook","0","0","0","0"
"Columbia","8","1","0","0"
