"Municipality *","FTA Warrants","VOP Warrants","OTI Warrants","Total Warrants"
"Salem","19","3","0","22"
"Salisbury","7","4","0","11"
"Scotland","6","1","0","7"
"Seymour","64","7","0","71"
"Sharon","6","1","0","7"
"Shelton","127","23","0","150"
"Sherman","6","2","0","8"
"Simsbury","21","5","0","26"
"Somers","14","3","0","17"
"South Windsor","29","9","1","39"
"Southbury","20","1","0","21"
"Southington","99","12","1","112"
"Sprague","8","12","1","21"
"Stafford","74","10","1","85"
"Stamford","2,372","275","3","2,650"
"Sterling","26","2","1","29"
"Stonington","106","15","0","121"
"Stratford","345","69","0","414"
"Suffield","22","4","0","26"
"Thomaston","14","4","0","18"
"Thompson","68","26","4","98"
"Tolland","38","2","0","40"
"Torrington","262","38","1","301"
"Trumbull","80","10","0","90"
"Union","2","0","0","2"
"Vernon","158","36","1","195"
"Voluntown","4","4","0","8"
"Wallingford","93","23","1","117"
"Warren","0","0","0","0"
"Washington","10","0","0","10"
