"Municipality *","FTA Warrants","VOP Warrants","OTI Warrants","Total Warrants"
"Salem","4","0","0","4"
"Salisbury","8","4","0","12"
"Scotland","2","0","1","3"
"Seymour","57","13","0","70"
"Sharon","4","0","0","4"
"Shelton","117","18","0","135"
"Sherman","5","2","0","7"
"Simsbury","26","5","0","31"
"Somers","15","5","0","20"
"South Windsor","31","8","0","39"
"Southbury","18","2","0","20"
"Southington","146","5","2","153"
"Sprague","17","12","1","30"
"Stafford","63","8","1","72"
"Stamford","2,331","251","0","2,582"
"Sterling","22","3","2","27"
"Stonington","92","8","0","100"
"Stratford","288","44","1","333"
"Suffield","22","2","0","24"
"Thomaston","16","2","0","18"
"Thompson","57","11","0","68"
"Tolland","24","0","0","24"
"Torrington","206","25","1","232"
"Trumbull","79","2","0","81"
"Union","4","0","0","4"
"Vernon","126","37","2","165"
"Voluntown","8","2","1","11"
"Wallingford","128","22","1","151"
"Warren","2","0","0","2"
"Washington","8","0","0","8"
