"Municipality *","Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
"Cornwall","1","0","0","0"
"Coventry","23","1","1","1"
"Cromwell","3","0","2","2"
"Danbury","795","31","46","17"
"Darien","8","0","0","0"
"Deep River","19","1","0","0"
"Derby","128","12","17","9"
"Durham","2","0","1","1"
"East Granby","11","0","1","1"
"East Haddam","19","1","4","4"
"East Hampton","21","3","2","2"
"East Hartford","139","27","57","32"
"East Haven","48","11","15","10"
"East Lyme","40","4","9","7"
"East Windsor","38","1","3","2"
"Eastford","5","0","0","0"
"Easton","9","0","0","0"
"Ellington","28","2","0","0"
"Enfield","202","8","21","16"
"Essex","4","0","1","0"
"Fairfield","74","1","6","4"
"Farmington","19","4","5","4"
"Franklin","0","0","3","3"
"Glastonbury","24","0","0","0"
"Goshen","0","0","0","0"
"Granby","13","0","2","0"
"Greenwich","31","6","1","0"
"Griswold","40","3","9","1"
"Groton","163","19","19","18"
"Guilford","17","4","6","3"
