"Municipality *","FTA Warrants","VOP Warrants","OTI Warrants","Total Warrants"
"Haddam","18","0","0","18"
"Hamden","330","63","0","393"
"Hampton","7","3","0","10"
"Hartford","2,394","643","8","3,045"
"Hartland","3","0","0","3"
"Harwinton","7","1","0","8"
"Hebron","11","3","0","14"
"Kent","6","1","0","7"
"Killingly","137","34","1","172"
"Killingworth","10","0","0","10"
"Lebanon","9","6","0","15"
"Ledyard","93","9","0","102"
"Lisbon","7","2","0","9"
"Litchfield","17","3","0","20"
"Lyme","6","3","0","9"
"Madison","53","7","0","60"
"Manchester","397","98","2","497"
"Mansfield","50","8","0","58"
"Marlborough","6","2","0","8"
"Meriden","529","139","0","668"
"Middlebury","11","0","0","11"
"Middlefield","10","3","0","13"
"Middletown","325","37","0","362"
"Milford","157","20","0","177"
"Monroe","32","3","0","35"
"Montville","88","23","0","111"
"Morris","2","2","0","4"
"Naugatuck","227","23","1","251"
"New Britain","909","219","0","1,128"
"New Canaan","36","2","0","38"
