"Municipality *","Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
"Waterbury","1,506","157","272","116"
"Waterford","10","0","12","3"
"Watertown","45","4","12","5"
"West Hartford","79","11","4","2"
"West Haven","212","17","63","38"
"Westbrook","30","2","1","1"
"Weston","10","0","1","0"
"Westport","50","5","3","2"
"Wethersfield","50","5","7","2"
"Willington","21","2","4","1"
"Wilton","16","0","2","2"
"Winchester","25","13","7","6"
"Windham","251","20","32","17"
"Windsor","86","16","17","14"
"Windsor Locks","36","2","5","4"
"Wolcott","21","1","7","6"
"Woodbridge","2","1","0","0"
"Woodbury","21","2","1","0"
"Woodstock","14","0","3","0"
"Grand Total","13,702","1,475","2,220","1,104"
